content,score,Label,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label NB
"Jobstreet adalah aplikasi terpercaya bagi perusahaan yang mencari tenaga kerja maupun bagi pencari kerja yang membutuhkan informasi lowongan pekerjaan. Sukses selalu untuk jobstreet dan selalu menjadi berkat bagi bangsa Indonesia, bagi perusahaan dan pencari kerja.",5,positif,jobstreet adalah aplikasi terpercaya bagi perusahaan yang mencari tenaga kerja maupun bagi pencari kerja yang membutuhkan informasi lowongan pekerjaan sukses selalu untuk jobstreet dan selalu menjadi berkat bagi bangsa indonesia bagi perusahaan dan pencari kerja,jobstreet aplikasi terpercaya perusahaan mencari tenaga kerja pencari kerja membutuhkan informasi lowongan pekerjaan sukses jobstreet berkat bangsa indonesia perusahaan pencari kerja,"['jobstreet', 'aplikasi', 'terpercaya', 'perusahaan', 'mencari', 'tenaga', 'kerja', 'pencari', 'kerja', 'membutuhkan', 'informasi', 'lowongan', 'pekerjaan', 'sukses', 'jobstreet', 'berkat', 'bangsa', 'indonesia', 'perusahaan', 'pencari', 'kerja']",jobstreet aplikasi percaya usaha cari tenaga kerja cari kerja butuh informasi lowong kerja sukses jobstreet berkat bangsa indonesia usaha cari kerja,positif
"Aplikasi nya buat naik darah Sudah sign ini, terus klik berikutnya Ga bisa sama sekali Bolak balik begitu aja..",2,negatif,aplikasi nya buat naik darah sudah sign ini terus klik berikutnya ga bisa sama sekali bolak balik begitu aja,aplikasi nya darah sign klik ga bolak aja,"['aplikasi', 'nya', 'darah', 'sign', 'klik', 'ga', 'bolak', 'aja']",aplikasi nya darah sign klik ga bolak aja,negatif
Jelek ready to find mulu,1,negatif,jelek ready to find mulu,jelek ready to find mulu,"['jelek', 'ready', 'to', 'find', 'mulu']",jelek ready to find mulu,negatif
Kenapa susah buat log in lagi ini ..,1,negatif,kenapa susah buat log in lagi ini ,susah log in,"['susah', 'log', 'in']",susah log in,negatif
Done. Well done! Pencarian info lowongan kerja dan melamar kerja begitu mudah.,5,positif,done well done pencarian info lowongan kerja dan melamar kerja begitu mudah,done well done pencarian info lowongan kerja melamar kerja mudah,"['done', 'well', 'done', 'pencarian', 'info', 'lowongan', 'kerja', 'melamar', 'kerja', 'mudah']",done well done cari info lowong kerja lamar kerja mudah,positif
Jobstreet kenapa ya tiba² akun saya logout. Terus saya coba mau login kembali malah nggak bisa terus? Mohon bantuannya mengenai aplikasi ini,1,negatif,jobstreet kenapa ya tiba akun saya logout terus saya coba mau login kembali malah nggak bisa terus mohon bantuannya mengenai aplikasi ini,jobstreet ya akun logout coba login nggak mohon bantuannya aplikasi,"['jobstreet', 'ya', 'akun', 'logout', 'coba', 'login', 'nggak', 'mohon', 'bantuannya', 'aplikasi']",jobstreet ya akun logout coba login nggak mohon bantu aplikasi,negatif
benerin ngapa ini app nga bisa login lagih,1,negatif,benerin ngapa ini app nga bisa login lagih,benerin ngapa app nga login lagih,"['benerin', 'ngapa', 'app', 'nga', 'login', 'lagih']",benerin ngapa app nga login lagih,negatif
"Tiba-tiba auto log off. Tidak bisa di login kembali, walau sudah hapus cache, hapus program dan install ulang. Tetap tidak bisa. Kalau lewat browsing, lancar, dan sampai sekarang masih belum ada perbaikan.....",1,negatif,tibatiba auto log off tidak bisa di login kembali walau sudah hapus cache hapus program dan install ulang tetap tidak bisa kalau lewat browsing lancar dan sampai sekarang masih belum ada perbaikan,tibatiba auto log off login hapus cache hapus program install ulang browsing lancar perbaikan,"['tibatiba', 'auto', 'log', 'off', 'login', 'hapus', 'cache', 'hapus', 'program', 'install', 'ulang', 'browsing', 'lancar', 'perbaikan']",tibatiba auto log off login hapus cache hapus program install ulang browsing lancar baik,negatif
Bagus sihhh aku baru buat lamaran langsung dipanggil interview,5,positif,bagus sihhh aku baru buat lamaran langsung dipanggil interview,bagus sihhh lamaran langsung dipanggil interview,"['bagus', 'sihhh', 'lamaran', 'langsung', 'dipanggil', 'interview']",bagus sihhh lamar langsung panggil interview,negatif
"Semenjak jobstreet berubah jadi jobstreet by seek jadi tidak bisa log in , jikalau ada update2 terbaru silahkan tapi mohon segera di tangani dengan cepat kendala yang ada . Saya sudah punya akun pada saat mau log in dengan akun yang sebelumnya terdaftar malah tidak bisa padahal jaringan stabil , mohon untuk di follow up kembali mengenai kendala log in pada update an terbaru aplikasi .",1,negatif,semenjak jobstreet berubah jadi jobstreet by seek jadi tidak bisa log in  jikalau ada update2 terbaru silahkan tapi mohon segera di tangani dengan cepat kendala yang ada  saya sudah punya akun pada saat mau log in dengan akun yang sebelumnya terdaftar malah tidak bisa padahal jaringan stabil  mohon untuk di follow up kembali mengenai kendala log in pada update an terbaru aplikasi ,semenjak jobstreet berubah jobstreet by seek log in update2 terbaru silahkan mohon tangani cepat kendala akun log in akun terdaftar jaringan stabil mohon follow up kendala log in update an terbaru aplikasi,"['semenjak', 'jobstreet', 'berubah', 'jobstreet', 'by', 'seek', 'log', 'in', 'update2', 'terbaru', 'silahkan', 'mohon', 'tangani', 'cepat', 'kendala', 'akun', 'log', 'in', 'akun', 'terdaftar', 'jaringan', 'stabil', 'mohon', 'follow', 'up', 'kendala', 'log', 'in', 'update', 'an', 'terbaru', 'aplikasi']",semenjak jobstreet ubah jobstreet by seek log in update2 baru silah mohon tangan cepat kendala akun log in akun daftar jaring stabil mohon follow up kendala log in update an baru aplikasi,negatif
Susah banget Lo gin nya kenapa ya,1,negatif,susah banget lo gin nya kenapa ya,susah banget lo gin nya ya,"['susah', 'banget', 'lo', 'gin', 'nya', 'ya']",susah banget lo gin nya ya,negatif
"Hallo jobstreet, aplikasinya tidak dapat di buka. Kenapa ya?",5,positif,hallo jobstreet aplikasinya tidak dapat di buka kenapa ya,hallo jobstreet aplikasinya buka ya,"['hallo', 'jobstreet', 'aplikasinya', 'buka', 'ya']",hallo jobstreet aplikasi buka ya,negatif
Cepat & Akurat,5,positif,cepat  akurat,cepat akurat,"['cepat', 'akurat']",cepat akurat,positif
"Baru kali ini pakai aplikasi untuk melamar kerja tapi data tidak aman, sudah berapa kali nomor saya di chat orang tidak dikenal yang menawarkan hal"" Diluar dari yang pernah saya apply di aplikasi ini, serius ini aplikasi gak bisa jaga kerahasiaan data? Sampe no telp saya kesebar? Setiap ada yang chat selalu isi pesannya dapat dari database jobstreet, tolong diperbaiki ya, kalau udah gini saya juga risih banyak yang chat.",2,negatif,baru kali ini pakai aplikasi untuk melamar kerja tapi data tidak aman sudah berapa kali nomor saya di chat orang tidak dikenal yang menawarkan hal diluar dari yang pernah saya apply di aplikasi ini serius ini aplikasi gak bisa jaga kerahasiaan data sampe no telp saya kesebar setiap ada yang chat selalu isi pesannya dapat dari database jobstreet tolong diperbaiki ya kalau udah gini saya juga risih banyak yang chat,kali pakai aplikasi melamar kerja data aman kali nomor chat orang dikenal menawarkan diluar apply aplikasi serius aplikasi gak jaga kerahasiaan data sampe no telp kesebar chat isi pesannya database jobstreet tolong diperbaiki ya udah gini risih chat,"['kali', 'pakai', 'aplikasi', 'melamar', 'kerja', 'data', 'aman', 'kali', 'nomor', 'chat', 'orang', 'dikenal', 'menawarkan', 'diluar', 'apply', 'aplikasi', 'serius', 'aplikasi', 'gak', 'jaga', 'kerahasiaan', 'data', 'sampe', 'no', 'telp', 'kesebar', 'chat', 'isi', 'pesannya', 'database', 'jobstreet', 'tolong', 'diperbaiki', 'ya', 'udah', 'gini', 'risih', 'chat']",kali pakai aplikasi lamar kerja data aman kali nomor chat orang kenal tawar luar apply aplikasi serius aplikasi gak jaga rahasia data sampe no telp sebar chat isi pesan database jobstreet tolong baik ya udah gin risih chat,negatif
Aplikasi error ya? Ko di klik berikutnya sehabis log in g bsa terus?,2,negatif,aplikasi error ya ko di klik berikutnya sehabis log in g bsa terus,aplikasi error ya ko klik sehabis log in g bsa,"['aplikasi', 'error', 'ya', 'ko', 'klik', 'sehabis', 'log', 'in', 'g', 'bsa']",aplikasi error ya ko klik habis log in g bsa,negatif
"Makin sini makin gk jelas apk ini, susah buat login mending bubar aja apknya",1,negatif,makin sini makin gk jelas apk ini susah buat login mending bubar aja apknya,gk apk susah login mending bubar aja apknya,"['gk', 'apk', 'susah', 'login', 'mending', 'bubar', 'aja', 'apknya']",gk apk susah login mending bubar aja apknya,negatif
nomor telpon bocor kmn² dan sering kali disalahgunakan oleh penipu yg tiba² chat via wa,1,negatif,nomor telpon bocor kmn dan sering kali disalahgunakan oleh penipu yg tiba chat via wa,nomor telpon bocor kmn kali disalahgunakan penipu yg chat via wa,"['nomor', 'telpon', 'bocor', 'kmn', 'kali', 'disalahgunakan', 'penipu', 'yg', 'chat', 'via', 'wa']",nomor telpon bocor kmn kali disalahgunakan tipu yg chat via wa,negatif
Ahh mkins bapet gak bisa login ulang😡,1,negatif,ahh mkins bapet gak bisa login ulang,ahh mkins bapet gak login ulang,"['ahh', 'mkins', 'bapet', 'gak', 'login', 'ulang']",ahh mkins bapet gak login ulang,negatif
Terus terang dari dulu sewaktu jaman yahoo sekitar tahun 2000 sampai saya akhirnya ngojek saya belum pernah di pangggil oleh jobstreet ini ..ya mungkin karena saya bodoh kali ya . Sekrang sy umur sudah tua .. pengalaman saja Mohon maaf pa jobstreet,5,positif,terus terang dari dulu sewaktu jaman yahoo sekitar tahun 2000 sampai saya akhirnya ngojek saya belum pernah di pangggil oleh jobstreet ini ya mungkin karena saya bodoh kali ya  sekrang sy umur sudah tua  pengalaman saja mohon maaf pa jobstreet,terang jaman yahoo 2000 ngojek pangggil jobstreet ya bodoh kali ya sekrang sy umur tua pengalaman mohon maaf pa jobstreet,"['terang', 'jaman', 'yahoo', '2000', 'ngojek', 'pangggil', 'jobstreet', 'ya', 'bodoh', 'kali', 'ya', 'sekrang', 'sy', 'umur', 'tua', 'pengalaman', 'mohon', 'maaf', 'pa', 'jobstreet']",terang jaman yahoo 2000 ngojek pangggil jobstreet ya bodoh kali ya sekrang sy umur tua alam mohon maaf pa jobstreet,negatif
Koq nggk bisa log in ya loadingnya mutar terus nggk selesai selesai,1,negatif,koq nggk bisa log in ya loadingnya mutar terus nggk selesai selesai,koq nggk log in ya loadingnya mutar nggk selesai selesai,"['koq', 'nggk', 'log', 'in', 'ya', 'loadingnya', 'mutar', 'nggk', 'selesai', 'selesai']",koq nggk log in ya loadingnya mutar nggk selesai selesai,negatif
Done,5,positif,done,done,['done'],done,positif
"saya tidak bisa mengirim lamaran pekerjaan, tolong perbaiki",1,negatif,saya tidak bisa mengirim lamaran pekerjaan tolong perbaiki,mengirim lamaran pekerjaan tolong perbaiki,"['mengirim', 'lamaran', 'pekerjaan', 'tolong', 'perbaiki']",kirim lamar kerja tolong baik,negatif
Sangat cepat sekali membantu,4,positif,sangat cepat sekali membantu,cepat membantu,"['cepat', 'membantu']",cepat bantu,positif
"Apknya logout sendiri, mau login lagi tapi ngga bisa, loading terus. Saya baca review lain juga sama problemnya, tolong dong diperbaiki.",2,negatif,apknya logout sendiri mau login lagi tapi ngga bisa loading terus saya baca review lain juga sama problemnya tolong dong diperbaiki,apknya logout login ngga loading baca review problemnya tolong diperbaiki,"['apknya', 'logout', 'login', 'ngga', 'loading', 'baca', 'review', 'problemnya', 'tolong', 'diperbaiki']",apknya logout login ngga loading baca review problem tolong baik,negatif
Good,5,positif,good,good,['good'],good,positif
Good,5,positif,good,good,['good'],good,positif
Sangat membantu👍,5,positif,sangat membantu,membantu,['membantu'],bantu,positif
uda punya akun tp ttep ga bs dipake. gimana si. pdhl uda d perbarui.. diperbarui malah jd brekele. pas blm d perbarui okeoke aja.,2,negatif,uda punya akun tp ttep ga bs dipake gimana si pdhl uda d perbarui diperbarui malah jd brekele pas blm d perbarui okeoke aja,uda akun tp ttep ga bs dipake gimana si pdhl uda d perbarui diperbarui jd brekele pas blm d perbarui okeoke aja,"['uda', 'akun', 'tp', 'ttep', 'ga', 'bs', 'dipake', 'gimana', 'si', 'pdhl', 'uda', 'd', 'perbarui', 'diperbarui', 'jd', 'brekele', 'pas', 'blm', 'd', 'perbarui', 'okeoke', 'aja']",uda akun tp ttep ga bs dipake gimana si pdhl uda d baru baru jd brekele pas blm d baru okeoke aja,negatif
"Aplikasi ini sangat jelak dan tidak bagus buktinya saya sampai sekarang belum mendapatkan pekerjaan, plis jangan di download nanti kalian nyesa",1,negatif,aplikasi ini sangat jelak dan tidak bagus buktinya saya sampai sekarang belum mendapatkan pekerjaan plis jangan di download nanti kalian nyesa,aplikasi jelak bagus buktinya pekerjaan plis download nyesa,"['aplikasi', 'jelak', 'bagus', 'buktinya', 'pekerjaan', 'plis', 'download', 'nyesa']",aplikasi jelak bagus bukti kerja plis download nyesa,positif
Aplikasi tiba2 keluar terus login lagi malah nggk bisa,4,positif,aplikasi tiba2 keluar terus login lagi malah nggk bisa,aplikasi tiba2 login nggk,"['aplikasi', 'tiba2', 'login', 'nggk']",aplikasi tiba2 login nggk,negatif
Banyak scam susah cari kerja untuk lulusan slta,1,negatif,banyak scam susah cari kerja untuk lulusan slta,scam susah cari kerja lulusan slta,"['scam', 'susah', 'cari', 'kerja', 'lulusan', 'slta']",scam susah cari kerja lulus slta,negatif
"Nonton video,katanya dapat sertifikat gratis,Kok gak ada ya sertifikatnya...???",1,negatif,nonton videokatanya dapat sertifikat gratiskok gak ada ya sertifikatnya,nonton videokatanya sertifikat gratiskok gak ya sertifikatnya,"['nonton', 'videokatanya', 'sertifikat', 'gratiskok', 'gak', 'ya', 'sertifikatnya']",nonton videokatanya sertifikat gratiskok gak ya sertifikat,negatif
Gak bisa log in,2,negatif,gak bisa log in,gak log in,"['gak', 'log', 'in']",gak log in,negatif
Ini kenapa udah login pas continue ga bisa bisa yahhh,5,positif,ini kenapa udah login pas continue ga bisa bisa yahhh,udah login pas continue ga yahhh,"['udah', 'login', 'pas', 'continue', 'ga', 'yahhh']",udah login pas continue ga yahhh,negatif
Sangat membantu dalam mempermudah mencari info lowongan,5,positif,sangat membantu dalam mempermudah mencari info lowongan,membantu mempermudah mencari info lowongan,"['membantu', 'mempermudah', 'mencari', 'info', 'lowongan']",bantu mudah cari info lowong,positif
Kenapa setelah di update bukannya mudah malah makin susah ?? Masa setelah login gak bisa di lanjut sih ? Tolong di perbaiki lg sistemnya,1,negatif,kenapa setelah di update bukannya mudah malah makin susah  masa setelah login gak bisa di lanjut sih  tolong di perbaiki lg sistemnya,update mudah susah login gak sih tolong perbaiki lg sistemnya,"['update', 'mudah', 'susah', 'login', 'gak', 'sih', 'tolong', 'perbaiki', 'lg', 'sistemnya']",update mudah susah login gak sih tolong baik lg sistem,negatif
Done,5,positif,done,done,['done'],done,positif
"Min, aku kok ngga bisa masuk ya, email sama Pw betul,tapi tampilan nya malah tulisan ""siap menemukan pekerjaan mu selanjutnya"" ad tombol Button ""Berikut nya"",diklik ngga bisa masuk🗿🗿, udh ad 10 menitan aku tunggu ngga bisa apa kendalanya min??, saya kasih 2 bintang dulu",2,negatif,min aku kok ngga bisa masuk ya email sama pw betultapi tampilan nya malah tulisan siap menemukan pekerjaan mu selanjutnya ad tombol button berikut nyadiklik ngga bisa masuk udh ad 10 menitan aku tunggu ngga bisa apa kendalanya min saya kasih 2 bintang dulu,min ngga masuk ya email pw betultapi tampilan nya tulisan menemukan pekerjaan mu ad tombol button nyadiklik ngga masuk udh ad 10 menitan tunggu ngga kendalanya min kasih 2 bintang,"['min', 'ngga', 'masuk', 'ya', 'email', 'pw', 'betultapi', 'tampilan', 'nya', 'tulisan', 'menemukan', 'pekerjaan', 'mu', 'ad', 'tombol', 'button', 'nyadiklik', 'ngga', 'masuk', 'udh', 'ad', '10', 'menitan', 'tunggu', 'ngga', 'kendalanya', 'min', 'kasih', '2', 'bintang']",min ngga masuk ya email pw betultapi tampil nya tulis temu kerja mu ad tombol button nyadiklik ngga masuk udh ad 10 menit tunggu ngga kendala min kasih 2 bintang,negatif
Ok,5,positif,ok,ok,['ok'],ok,positif
Payah jobstreet sekarang banyak perusahaan bodong masuk,1,negatif,payah jobstreet sekarang banyak perusahaan bodong masuk,payah jobstreet perusahaan bodong masuk,"['payah', 'jobstreet', 'perusahaan', 'bodong', 'masuk']",payah jobstreet usaha bodong masuk,negatif
Bagus,5,positif,bagus,bagus,['bagus'],bagus,positif
Tiba tiba log out tidak bisa log in,1,negatif,tiba tiba log out tidak bisa log in,log out log in,"['log', 'out', 'log', 'in']",log out log in,negatif
"Ini kenapa gak bisa masuk,, padahal saya sudah punya akunnya",1,negatif,ini kenapa gak bisa masuk padahal saya sudah punya akunnya,gak masuk akunnya,"['gak', 'masuk', 'akunnya']",gak masuk akun,negatif
"Saya udah punya akun dan ga pernah logout, kenapa tiba² akun saya keluar sendiri? Dan mau masuk pakai id&pw stak di berikutnya, pakai akun google juga stak loading terus, tolong gimana pihak PT jobstreet tanggapan nya.",1,negatif,saya udah punya akun dan ga pernah logout kenapa tiba akun saya keluar sendiri dan mau masuk pakai idpw stak di berikutnya pakai akun google juga stak loading terus tolong gimana pihak pt jobstreet tanggapan nya,udah akun ga logout akun masuk pakai idpw stak pakai akun google stak loading tolong gimana pt jobstreet tanggapan nya,"['udah', 'akun', 'ga', 'logout', 'akun', 'masuk', 'pakai', 'idpw', 'stak', 'pakai', 'akun', 'google', 'stak', 'loading', 'tolong', 'gimana', 'pt', 'jobstreet', 'tanggapan', 'nya']",udah akun ga logout akun masuk pakai idpw stak pakai akun google stak loading tolong gimana pt jobstreet tanggap nya,negatif
GK bisa login,1,negatif,gk bisa login,gk login,"['gk', 'login']",gk login,negatif
"Tolong diperbaiki dong ini udah punya akun tbtb akunya keluar, mau login lgi malah gk bisa",1,negatif,tolong diperbaiki dong ini udah punya akun tbtb akunya keluar mau login lgi malah gk bisa,tolong diperbaiki udah akun tbtb akunya login lgi gk,"['tolong', 'diperbaiki', 'udah', 'akun', 'tbtb', 'akunya', 'login', 'lgi', 'gk']",tolong baik udah akun tbtb aku login lgi gk,negatif
Done,5,positif,done,done,['done'],done,positif
Info selalu up date & cepat respon nya 👍👍,5,positif,info selalu up date  cepat respon nya ,info up date cepat respon nya,"['info', 'up', 'date', 'cepat', 'respon', 'nya']",info up date cepat respon nya,positif
"Hi, sayang sekali ini kenapa saya tidak bisa login, sudah di coba lewat web juga tidak bisa, tolong bantuannya, Terimakasih🙏🏻",4,positif,hi sayang sekali ini kenapa saya tidak bisa login sudah di coba lewat web juga tidak bisa tolong bantuannya terimakasih,hi sayang login coba web tolong bantuannya terimakasih,"['hi', 'sayang', 'login', 'coba', 'web', 'tolong', 'bantuannya', 'terimakasih']",hi sayang login coba web tolong bantu terimakasih,positif
"apa jaringan muter""terus masuk aplikasi gak bisa, aplikasi apaan Gak guna",1,negatif,apa jaringan muterterus masuk aplikasi gak bisa aplikasi apaan gak guna,jaringan muterterus masuk aplikasi gak aplikasi gak,"['jaringan', 'muterterus', 'masuk', 'aplikasi', 'gak', 'aplikasi', 'gak']",jaring muterterus masuk aplikasi gak aplikasi gak,negatif
"Mantabss, mdh2an cepat dapat kerja kembali 👍👍👍",5,positif,mantabss mdh2an cepat dapat kerja kembali ,mantabss mdh2an cepat kerja,"['mantabss', 'mdh2an', 'cepat', 'kerja']",mantabss mdh2an cepat kerja,positif
Very inspiring and very helpful. Thank you very much,5,positif,very inspiring and very helpful thank you very much,very inspiring and very helpful thank you very much,"['very', 'inspiring', 'and', 'very', 'helpful', 'thank', 'you', 'very', 'much']",very inspiring and very helpful thank you very much,positif
Mantap bisa membantu,5,positif,mantap bisa membantu,mantap membantu,"['mantap', 'membantu']",mantap bantu,positif
