userName,at,content,text_tokens_stemmed,Label,Label NB,Label SVM
Pengguna Google,2024-12-07 15:18:29,"Baru kali ini pakai aplikasi untuk melamar kerja tapi data tidak aman, sudah berapa kali nomor saya di chat orang tidak dikenal yang menawarkan hal"" Diluar dari yang pernah saya apply di aplikasi ini, serius ini aplikasi gak bisa jaga kerahasiaan data? Sampe no telp saya kesebar? Setiap ada yang chat selalu isi pesannya dapat dari database jobstreet, tolong diperbaiki ya, kalau udah gini saya juga risih banyak yang chat.",kali pakai aplikasi lamar kerja data aman kali nomor chat orang kenal tawar luar apply aplikasi serius aplikasi gak jaga rahasia data sampe no telp sebar chat isi pesan database jobstreet tolong baik ya udah gin risih chat,negatif,negatif,negatif
Pengguna Google,2024-12-07 13:44:32,Aplikasi error ya? Ko di klik berikutnya sehabis log in g bsa terus?,aplikasi error ya ko klik habis log in g bsa,negatif,negatif,negatif
Pengguna Google,2024-12-07 13:30:48,"Makin sini makin gk jelas apk ini, susah buat login mending bubar aja apknya",gk apk susah login mending bubar aja apknya,negatif,negatif,negatif
Pengguna Google,2024-12-07 09:57:08,nomor telpon bocor kmn² dan sering kali disalahgunakan oleh penipu yg tiba² chat via wa,nomor telpon bocor kmn kali disalahgunakan tipu yg chat via wa,negatif,negatif,negatif
Pengguna Google,2024-12-06 20:52:39,Ahh mkins bapet gak bisa login ulang😡,ahh mkins bapet gak login ulang,negatif,negatif,negatif
Pengguna Google,2024-12-06 19:25:12,Terus terang dari dulu sewaktu jaman yahoo sekitar tahun 2000 sampai saya akhirnya ngojek saya belum pernah di pangggil oleh jobstreet ini ..ya mungkin karena saya bodoh kali ya . Sekrang sy umur sudah tua .. pengalaman saja Mohon maaf pa jobstreet,terang jaman yahoo 2000 ngojek pangggil jobstreet ya bodoh kali ya sekrang sy umur tua alam mohon maaf pa jobstreet,positif,positif,positif
Pengguna Google,2024-12-06 19:20:40,Koq nggk bisa log in ya loadingnya mutar terus nggk selesai selesai,koq nggk log in ya loadingnya mutar nggk selesai selesai,negatif,negatif,negatif
Pengguna Google,2024-12-06 18:59:43,Done,done,positif,positif,positif
Pengguna Google,2024-12-06 14:56:54,"saya tidak bisa mengirim lamaran pekerjaan, tolong perbaiki",kirim lamar kerja tolong baik,negatif,negatif,positif
Pengguna Google,2024-12-06 13:59:18,Sangat cepat sekali membantu,cepat bantu,positif,positif,positif
Pengguna Google,2024-12-06 09:55:08,"Apknya logout sendiri, mau login lagi tapi ngga bisa, loading terus. Saya baca review lain juga sama problemnya, tolong dong diperbaiki.",apknya logout login ngga loading baca review problem tolong baik,negatif,negatif,negatif
Pengguna Google,2024-12-06 07:33:26,Good,good,positif,positif,positif
Pengguna Google,2024-12-05 23:30:01,Good,good,positif,positif,positif
Pengguna Google,2024-12-05 20:18:59,Sangat membantu👍,bantu,positif,positif,positif
Pengguna Google,2024-12-05 17:59:27,uda punya akun tp ttep ga bs dipake. gimana si. pdhl uda d perbarui.. diperbarui malah jd brekele. pas blm d perbarui okeoke aja.,uda akun tp ttep ga bs dipake gimana si pdhl uda d baru baru jd brekele pas blm d baru okeoke aja,negatif,negatif,negatif
Pengguna Google,2024-12-05 16:49:50,"Aplikasi ini sangat jelak dan tidak bagus buktinya saya sampai sekarang belum mendapatkan pekerjaan, plis jangan di download nanti kalian nyesa",aplikasi jelak bagus bukti kerja plis download nyesa,negatif,positif,negatif
Pengguna Google,2024-12-05 13:50:55,Aplikasi tiba2 keluar terus login lagi malah nggk bisa,aplikasi tiba2 login nggk,positif,negatif,positif
Pengguna Google,2024-12-05 11:37:57,Banyak scam susah cari kerja untuk lulusan slta,scam susah cari kerja lulus slta,negatif,negatif,negatif
Pengguna Google,2024-12-05 11:04:18,"Nonton video,katanya dapat sertifikat gratis,Kok gak ada ya sertifikatnya...???",nonton videokatanya sertifikat gratiskok gak ya sertifikat,negatif,negatif,negatif
Pengguna Google,2024-12-05 10:31:04,Gak bisa log in,gak log in,negatif,negatif,negatif
Pengguna Google,2024-12-05 09:35:42,Ini kenapa udah login pas continue ga bisa bisa yahhh,udah login pas continue ga yahhh,positif,negatif,positif
Pengguna Google,2024-12-05 08:50:47,Sangat membantu dalam mempermudah mencari info lowongan,bantu mudah cari info lowong,positif,positif,positif
Pengguna Google,2024-12-05 04:59:14,Kenapa setelah di update bukannya mudah malah makin susah ?? Masa setelah login gak bisa di lanjut sih ? Tolong di perbaiki lg sistemnya,update mudah susah login gak sih tolong baik lg sistem,negatif,negatif,negatif
Pengguna Google,2024-12-04 22:57:54,Done,done,positif,positif,positif
Pengguna Google,2024-12-04 17:05:09,"Min, aku kok ngga bisa masuk ya, email sama Pw betul,tapi tampilan nya malah tulisan ""siap menemukan pekerjaan mu selanjutnya"" ad tombol Button ""Berikut nya"",diklik ngga bisa masuk🗿🗿, udh ad 10 menitan aku tunggu ngga bisa apa kendalanya min??, saya kasih 2 bintang dulu",min ngga masuk ya email pw betultapi tampil nya tulis temu kerja mu ad tombol button nyadiklik ngga masuk udh ad 10 menit tunggu ngga kendala min kasih 2 bintang,negatif,negatif,negatif
Pengguna Google,2024-12-04 12:40:38,Ok,ok,positif,positif,positif
Pengguna Google,2024-12-04 11:41:33,Payah jobstreet sekarang banyak perusahaan bodong masuk,payah jobstreet usaha bodong masuk,negatif,negatif,negatif
Pengguna Google,2024-12-04 09:17:24,Bagus,bagus,positif,positif,positif
Pengguna Google,2024-12-04 08:48:56,Tiba tiba log out tidak bisa log in,log out log in,negatif,negatif,negatif
Pengguna Google,2024-12-04 02:59:19,"Ini kenapa gak bisa masuk,, padahal saya sudah punya akunnya",gak masuk akun,negatif,negatif,negatif
Pengguna Google,2024-12-03 18:48:12,"Saya udah punya akun dan ga pernah logout, kenapa tiba² akun saya keluar sendiri? Dan mau masuk pakai id&pw stak di berikutnya, pakai akun google juga stak loading terus, tolong gimana pihak PT jobstreet tanggapan nya.",udah akun ga logout akun masuk pakai idpw stak pakai akun google stak loading tolong gimana pt jobstreet tanggap nya,negatif,negatif,negatif
Pengguna Google,2024-12-03 18:26:50,GK bisa login,gk login,negatif,negatif,negatif
Pengguna Google,2024-12-03 13:41:56,"Tolong diperbaiki dong ini udah punya akun tbtb akunya keluar, mau login lgi malah gk bisa",tolong baik udah akun tbtb aku login lgi gk,negatif,negatif,negatif
Pengguna Google,2024-12-03 12:58:34,Done,done,positif,positif,positif
Pengguna Google,2024-12-03 12:43:23,Info selalu up date & cepat respon nya 👍👍,info up date cepat respon nya,positif,positif,positif
Pengguna Google,2024-12-03 12:40:23,"Hi, sayang sekali ini kenapa saya tidak bisa login, sudah di coba lewat web juga tidak bisa, tolong bantuannya, Terimakasih🙏🏻",hi sayang login coba web tolong bantu terimakasih,positif,positif,positif
Pengguna Google,2024-12-03 12:30:50,"apa jaringan muter""terus masuk aplikasi gak bisa, aplikasi apaan Gak guna",jaring muterterus masuk aplikasi gak aplikasi gak,negatif,negatif,negatif
Pengguna Google,2024-12-03 06:22:15,"Mantabss, mdh2an cepat dapat kerja kembali 👍👍👍",mantabss mdh2an cepat kerja,positif,positif,positif
Pengguna Google,2024-12-02 23:41:33,Very inspiring and very helpful. Thank you very much,very inspiring and very helpful thank you very much,positif,positif,positif
Pengguna Google,2024-12-02 21:21:13,Mantap bisa membantu,mantap bantu,positif,positif,positif
Pengguna Google,2024-12-02 17:56:41,"Dari taun jebot ampe sekarang belum pernah dapet kerja lewat jobstpreeeet, kebanyakan loker fiktif yg ujung2nya penipuan.",taun jebot ampe dapet kerja jobstpreeeet banyak loker fiktif yg ujung2nya tipu,positif,negatif,positif
Pengguna Google,2024-12-02 15:17:27,"Kenapa sampai saat ini masih tidak bisa untuk login, sudah di kirim email tapi tetap tidak ada respon nya",login kirim email respon nya,negatif,negatif,negatif
Pengguna Google,2024-12-02 13:09:27,Dulu bagus kenapa sekarang login seek gak bisa??? Siap menemukan pekerjaanmu selanjutnya??? Tekan berikutnya tapi gak mau masuk ????,bagus login seek gak temu kerja tekan gak masuk,negatif,negatif,negatif
Pengguna Google,2024-12-02 11:27:05,Kok ga bisa masuk ke akunku ya? Udh dicoba berkali2 dan password jg udh bener,ga masuk akun ya udh coba berkali2 password jg udh bener,negatif,negatif,negatif
Pengguna Google,2024-12-02 09:54:51,"Tiba2 pas saya masuk buat apply langsung di suruh log in ulang dan pas saya sudah log in malah data saya hilang padahal Email sudah benar dan malah di suruh buat Email dan akun baru, tolong lah perbaiki saya kan juga pusing kalau dari awal.. lamaran saya sebelumnya juga bagaimana, niat nya mau apply malah di bikin ribet.",tiba2 pas masuk apply langsung suruh log in ulang pas log in data hilang email suruh email akun tolong baik pusing lamar niat nya apply bikin ribet,negatif,negatif,negatif
Pengguna Google,2024-12-02 09:53:10,"Lowongannya palsu,kalau emang ada lowongaannya harusnya PT itu ada nomer tlp nya,gak jelass ni aplikasinya",lowong palsukalau emang lowongaannya pt nomer tlp nyagak jelass ni aplikasi,negatif,negatif,negatif
Pengguna Google,2024-12-02 09:20:51,Ok,ok,positif,positif,positif
Pengguna Google,2024-12-02 00:57:00,Tolong perbaiki masalah tidak bisa login ulang. Padahal sudah punya akun. Tapi saat login ga bisa di lanjutkan.,tolong baik login ulang akun login ga lanjut,positif,negatif,negatif
Pengguna Google,2024-12-01 15:54:08,Sudah kirim lamaran sebanyak apapun tetap aja tidak ada tanda-tanda panggilan,kirim lamar apa aja tandatanda panggil,positif,negatif,positif
Pengguna Google,2024-12-01 14:21:36,"Susah login, tampilan berubah seperti web, apakah keamanan data terjamin?",susah login tampil ubah web aman data jamin,negatif,negatif,negatif
Pengguna Google,2024-12-01 08:17:52,Aplikasi sering ngebug saat dipakai login,aplikasi ngebug pakai login,negatif,negatif,negatif
Pengguna Google,2024-12-01 01:25:28,"Sebelumnya applikasi ini oke, tapi kok ini jadi lemot banget, mau unggah cv aja ngga bisa2 buttonnya",applikasi oke lot banget unggah cv aja ngga bisa2 buttonnya,negatif,negatif,negatif
Pengguna Google,2024-11-30 18:55:32,"gajelas gabisa login, daftar baru jg gbsa",gajelas gabisa login daftar jg gbsa,negatif,negatif,negatif
Pengguna Google,2024-11-30 13:03:36,Good,good,positif,positif,positif
Pengguna Google,2024-11-30 08:15:55,Cepat dan update,cepat update,positif,positif,positif
Pengguna Google,2024-11-30 05:41:05,Kenapa tidak bisa login? Apakah ada dicheck oleh pihak IT? Udah banyak yang komplain terus tidak ada perbaikan apa-apa,login dicheck it udah komplain baik apaapa,negatif,negatif,negatif
Pengguna Google,2024-11-29 15:58:05,"Bagaimana ya filternya, hari ini tgl 29nov filter utk Bogor satupun tidak ada daerah Bogor, model machine learningnya keliru atau bgmn ya",ya filter tgl 29nov filter utk bogor satu daerah bogor model machine learningnya keliru bgmn ya,negatif,negatif,negatif
Pengguna Google,2024-11-29 11:06:20,"Aplikasi saya keluar sendiri ,ketika log in lagi , hnya keluar selanjutnya,tapi pas di klik ngk bisa2",aplikasi log in hnya selanjutnyatapi pas klik ngk bisa2,negatif,negatif,negatif
Pengguna Google,2024-11-29 09:51:10,Tidak bisa login di sy,login sy,negatif,negatif,negatif
Pengguna Google,2024-11-29 09:05:45,Apk ini Gak rekomended. Mending Glints atau LinkedIn,apk gak rekomended mending glints linkedin,negatif,negatif,negatif
Pengguna Google,2024-11-29 04:46:18,"Kenapa sekarang aplikasinya jelek ya,diupdate bukanya tambah bagus,tp nambah susahin pengguna,udah komplain csnya dan udah saya lakuin,tapi masih utuh belum bisa digunakan,diklik berikutnya juga belom bisa,dan update apk masih utuh belum bisa,udah komplain juga",aplikasi jelek yadiupdate buka bagustp nambah susahin penggunaudah komplain csnya udah lakuintapi utuh digunakandiklik bom bisadan update apk utuh bisaudah komplain,negatif,negatif,negatif
Pengguna Google,2024-11-28 18:29:35,Ini knapa sy login kaga bisa2.. Di klik gbs2,knapa sy login kaga bisa2 klik gbs2,negatif,negatif,negatif
Pengguna Google,2024-11-28 13:10:50,AKSES DIBLOKIR : Permintaan Seek tdk mematuhi kebijalan Google. Masih sama hampir sebulan gk bisa masuk gmn nih.. Masuk pake' akun goole gk bisa pake' fb gk bisa. Makin rusak aja nih aplikasi.,akses blokir minta seek tdk patuh kebijalan google bulan gk masuk gmn nih masuk pake akun goole gk pake fb gk rusak aja nih aplikasi,negatif,negatif,negatif
Pengguna Google,2024-11-28 12:36:19,Aplikasi gak berguna notif doang setiap hari di lamar gak ada respon,aplikasi gak guna notif doang lamar gak respon,negatif,negatif,negatif
Pengguna Google,2024-11-28 10:11:03,"Gatau saya kayaknya gapernah download aplikasi ini, kemarin tiba tiba ada yang nawarin job freelance, mengubungi lewat wa,katanya dpt nomer saya dari database dsini. Mana yang WhatsApp saya kaya penipuan tidak masuk akal.",gatau kayak gapernah download aplikasi kemarin nawarin job freelance ubung wakatanya dpt nomer database dsini whatsapp kaya tipu masuk akal,negatif,negatif,negatif
Pengguna Google,2024-11-28 10:06:50,"Kenapa saya tidak bisa login di aplikasi, selalu diarahkan ke websitenya",login aplikasi arah websitenya,negatif,negatif,negatif
Pengguna Google,2024-11-28 07:28:48,"aplikasi ga guna banyak loker bodongnya, ga masuk aka masal mau kerja disuruh bayar.",aplikasi ga loker bodong ga masuk aka masal kerja suruh bayar,negatif,negatif,negatif
Pengguna Google,2024-11-27 12:22:33,Gak bisa login. Padahal email sama pasword dah benar.,gak login email pasword dah,negatif,negatif,negatif
Pengguna Google,2024-11-27 10:41:25,Kenapa saya tidak bisa login padahal akun saya sudah ada dan sandinya benar semua tapi saya tidak bisa login..,login akun sandi login,negatif,negatif,negatif
Pengguna Google,2024-11-27 10:37:47,puas,puas,positif,positif,positif
Pengguna Google,2024-11-27 09:57:51,"Login issue, bad app",login issue bad app,negatif,negatif,negatif
Pengguna Google,2024-11-27 08:26:48,tdk bisa log in pakai google walaupun log in manual jg ga bisaaa,tdk log in pakai google log in manual jg ga bisaaa,negatif,negatif,negatif
Pengguna Google,2024-11-26 14:02:24,bagus semua,bagus,positif,positif,positif
Pengguna Google,2024-11-26 12:37:17,"Aplikasi tidak berguna, tidak bisa login",aplikasi guna login,negatif,negatif,negatif
Pengguna Google,2024-11-26 09:51:26,Gak bisa login sdh pakai 3 akun. WHY?,gak login sdh pakai 3 akun why,negatif,negatif,negatif
Pengguna Google,2024-11-26 08:53:27,ga bisa login... aneh,ga login aneh,negatif,negatif,negatif
Pengguna Google,2024-11-26 07:14:02,dari pertama kali instal tahun 2022 sampai sekarang boleh dibilang hampir setiap hari daftar loker yang ada disini tapi sama sekali belum pernah ada panggilan sama sekali ! gimana ini jobstreet,kali instal 2022 bilang daftar loker panggil gimana jobstreet,negatif,negatif,negatif
Pengguna Google,2024-11-26 00:28:02,"After update, problem sign in,..OMG",after update problem sign inomg,negatif,negatif,negatif
Pengguna Google,2024-11-25 14:38:32,log out sndiri log in susah masuk kirim email gak meyelesaikan masalah,log out sndiri log in susah masuk kirim email gak meyelesaikan,negatif,negatif,negatif
Pengguna Google,2024-11-25 12:57:07,"Udah cari kerja gak dapet mulu, ini sekarang akun Jobstreet ke log out sendiri, log in balik malah error. Udah tau saya lagi susah banget dapet kerja, jangan lah makin mempersulit. Ampun dah",udah cari kerja gak dapet mulu akun jobstreet log out log in error udah tau susah banget dapet kerja sulit ampun dah,negatif,negatif,negatif
Pengguna Google,2024-11-25 11:13:30,Ini gmna aplikasi ha jelas udh di dowlod ngk bs di buka,gmna aplikasi ha udh dowlod ngk bs buka,negatif,negatif,negatif
Pengguna Google,2024-11-25 07:23:48,"Good jobs, Sanga membantu dalam mencari pekerjaan.... sangat recommended 😊",good jobs sanga bantu cari kerja recommended,positif,positif,positif
Pengguna Google,2024-11-25 06:04:26,Tidak bisa masuk akun,masuk akun,negatif,negatif,negatif
Pengguna Google,2024-11-24 22:16:12,"Saya daftar akun kenapa ga bisa , 3 jam saya mencoba ga bisa ,",daftar akun ga 3 jam coba ga,negatif,negatif,negatif
Pengguna Google,2024-11-24 13:25:53,"Jobstreet nya sampai sekarang apa masih problem ya, soal nya aku mau login sampai sekarang masih susah, ini gimana ya, mana saya lagi cari kerjaan lagi.",jobstreet nya problem ya nya login susah gimana ya cari kerja,positif,negatif,positif
Pengguna Google,2024-11-24 12:00:21,Electrician,electrician,positif,positif,positif
Pengguna Google,2024-11-24 01:48:31,Nice,nice,positif,positif,positif
Pengguna Google,2024-11-23 22:15:56,"Kenapa mau login tidak bisa, sudah diklik tombol berikutnya, ga ada respon sama sekali dari aplikasinya, terus kalau login pakai akun google malah loading terus ga masuk2",login klik tombol ga respon aplikasi login pakai akun google loading ga masuk2,negatif,negatif,negatif
Pengguna Google,2024-11-23 14:08:15,Di aplikasi HP kok tau2 logout sendiri dan gk bisa login. Udh di uninstall terus install ulang tapi sama aja,aplikasi hp tau2 logout gk login udh uninstall install ulang aja,negatif,negatif,negatif
Pengguna Google,2024-11-23 10:59:42,Semoga aku mendapatkan pekerjaan lebih mudah ya Allah 🤲 aamiin semoga tidak banyak hoax atau harus keluar biaya dulu setelah itu dibawa kabur uangnya ✌️✌️,moga kerja mudah ya allah aamiin moga hoax biaya bawa kabur uang,positif,positif,positif
Pengguna Google,2024-11-23 10:36:32,Oke,oke,positif,positif,positif
Pengguna Google,2024-11-23 09:29:19,"Kenapa sy tbtb logout di hp dan ketika login lg ga bisa, loading terus. Udah direset password jg ga bisa masuk",sy tbtb logout hp login lg ga loading udah direset password jg ga masuk,negatif,negatif,negatif
Pengguna Google,2024-11-23 07:14:45,tiba2 akun ke log out pas login lagi ga bisa,tiba2 akun log out pas login ga,negatif,negatif,negatif
Pengguna Google,2024-11-22 22:35:37,Aplikasi ga bisa di buka parah,aplikasi ga buka parah,negatif,negatif,negatif
Pengguna Google,2024-11-22 17:21:01,Heran deh setiap ngelamar kenapa lokernya slalu kadaluarsa? Padahal itu loker baru aja dipost loh!!!! Dan gk 1 atau 2 loker dan itu semua loker yg dilamar 👎👎👎👎,heran deh ngelamar lokernya slalu kadaluarsa loker aja dipost loh gk 1 2 loker loker yg lamar,negatif,negatif,negatif
Pengguna Google,2024-11-22 13:21:53,"Akun tiba"" Keluar",akun,negatif,negatif,negatif
Pengguna Google,2024-11-22 12:49:26,Informasi Lokernya bermanfaat,informasi lokernya manfaat,positif,positif,positif
Pengguna Google,2024-11-21 20:53:01,Udah gak bisa digunakan. Signal bagus tetap gak bisa login. Aplikasi bangkrut,udah gak signal bagus gak login aplikasi bangkrut,negatif,negatif,negatif
Pengguna Google,2024-11-21 19:59:22,"sering nipu lewat wa dengan mengatasnama kan jobstreet dan pas di jawab chat nya malah di blok dan suka spam chat, ketika saya kasarin mereka ga senang dengan mengancam saya dan meyebarkan kan nomor hp saya.",nipu wa mengatasnama jobstreet pas chat nya blok suka spam chat kasarin ga senang ancam meyebarkan nomor hp,negatif,negatif,negatif
Pengguna Google,2024-11-21 16:08:55,Kenapa ya kok gk bsa masuk padahal kluar kluar sendiri dari apklikasi .giliran masuk ngk BSA .,ya gk bsa masuk kluar kluar apklikasi gilir masuk ngk bsa,negatif,negatif,negatif
Pengguna Google,2024-11-21 13:59:02,"Kok jb jadi aneh ya tampilan nya, ga se simple dulu",jb aneh ya tampil nya ga simple,positif,negatif,positif
Pengguna Google,2024-11-21 13:40:46,"saya udah 3 hari login kok ga bisa2 sih, tolong dong min dibantu diperbaiki sistemnya",udah 3 login ga bisa2 sih tolong min bantu baik sistem,negatif,negatif,negatif
Pengguna Google,2024-11-21 11:03:04,Tolong donk diperbaiki saya login tidak bisa yang awalnya logout sendiri sekarang mau login gak bisa terus hanya ada tulisan berikutnya saja bagaimana ini kendala seperti ini,tolong donk baik login logout login gak tulis kendala,negatif,negatif,negatif
Pengguna Google,2024-11-21 09:44:26,"Woi?, tolong carikan saya lowongan pekerjaan di kantor saja di penempatan batam, lowongan pekerjaan di kantor mana saja, kecuali accounting dan purchasing, gak mau tahu aku, tolong carikan, tanpa pengalaman, dan sallarynya kurang lebih empat digit. Harus bisa. Kalao gak, aku laporkan ke atasan kalian atau ke salah satu instansi pemerintah.Gak Mau Tahu Aku. Pokoknya, Harus Bisa. TITIK, GAK PAKAI KOMA.😡😡😡...",woi tolong cari lowong kerja kantor tempat batam lowong kerja kantor kecuali accounting purchasing gak tolong cari alam sallarynya digit kalao gak lapor atas salah instansi pemerintahgak pokok titik gak pakai koma,negatif,negatif,negatif
Pengguna Google,2024-11-21 09:23:45,Sangat membantu sekali,bantu,positif,positif,positif
Pengguna Google,2024-11-21 06:13:38,INI MAKSUDNYA GIMANA GAK BISA AKSES SEJAK DI BELI SEEK!!! TEKAN BERIKUTNYA GAK BISAA!!!,maksud gimana gak akses beli seek tekan gak bisaa,negatif,negatif,negatif
Pengguna Google,2024-11-21 04:25:20,Tiba-tiba ga bisa masuk entah kenapa 👎😩,tibatiba ga masuk,negatif,negatif,negatif
