userName,score,at,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed
Pengguna Google,1,2024-12-11 10:16:22,"Ribet persyaratan, baru lulus ditanya pengalaman kerja, kan bloon, udah punya pengalaman tanya usia tidak masuk sleksi terlalu tua sedikit, maunya apa setan.",ribet persyaratan baru lulus ditanya pengalaman kerja kan bloon udah punya pengalaman tanya usia tidak masuk sleksi terlalu tua sedikit maunya apa setan,ribet persyaratan lulus pengalaman kerja bloon udah pengalaman usia masuk sleksi tua maunya setan,"['ribet', 'persyaratan', 'lulus', 'pengalaman', 'kerja', 'bloon', 'udah', 'pengalaman', 'usia', 'masuk', 'sleksi', 'tua', 'maunya', 'setan']",ribet syarat lulus alam kerja bloon udah alam usia masuk sleksi tua mau setan
Pengguna Google,5,2024-12-11 04:58:22,Ok google scatter superwin+jp,ok google scatter superwinjp,ok google scatter superwinjp,"['ok', 'google', 'scatter', 'superwinjp']",ok google scatter superwinjp
Pengguna Google,1,2024-12-10 20:40:43,Burukkk jangan download soalnya login gak bisa,burukkk jangan download soalnya login gak bisa,burukkk download login gak,"['burukkk', 'download', 'login', 'gak']",burukkk download login gak
Pengguna Google,5,2024-12-10 19:49:59,Good,good,good,['good'],good
Pengguna Google,2,2024-12-10 19:40:24,udah beberapa kali download tetep gabisa login terus,udah beberapa kali download tetep gabisa login terus,udah kali download tetep gabisa login,"['udah', 'kali', 'download', 'tetep', 'gabisa', 'login']",udah kali download tetep gabisa login
Pengguna Google,2,2024-12-10 18:53:40,"Saya sudah punya akun, tapi kenapa saat ingin login kembali susah? Padahal jaringan sangat baik. Saya coba besok lagi, besoknya lagi, dan terus seperti itu. Bagaimana solusinya ya agar bisa login kembali? Terima kasih",saya sudah punya akun tapi kenapa saat ingin login kembali susah padahal jaringan sangat baik saya coba besok lagi besoknya lagi dan terus seperti itu bagaimana solusinya ya agar bisa login kembali terima kasih,akun login susah jaringan coba besok besoknya solusinya ya login terima kasih,"['akun', 'login', 'susah', 'jaringan', 'coba', 'besok', 'besoknya', 'solusinya', 'ya', 'login', 'terima', 'kasih']",akun login susah jaring coba besok besok solusi ya login terima kasih
Pengguna Google,2,2024-12-10 13:03:21,"Jobstreet lagi kenapa sihh? Masa akun saya tiba"" keluar trus disuruh login lagi? Saya lupa kata sandi nya, saya mau ngubah sandi nya disuruh verifikasi email tapi gaada kelanjutan nya. Tolong dong diperbaiki, udah coba buat daftar lagi pake email baru tetep aja gabisa",jobstreet lagi kenapa sihh masa akun saya tiba keluar trus disuruh login lagi saya lupa kata sandi nya saya mau ngubah sandi nya disuruh verifikasi email tapi gaada kelanjutan nya tolong dong diperbaiki udah coba buat daftar lagi pake email baru tetep aja gabisa,jobstreet sihh akun trus disuruh login lupa sandi nya ngubah sandi nya disuruh verifikasi email gaada kelanjutan nya tolong diperbaiki udah coba daftar pake email tetep aja gabisa,"['jobstreet', 'sihh', 'akun', 'trus', 'disuruh', 'login', 'lupa', 'sandi', 'nya', 'ngubah', 'sandi', 'nya', 'disuruh', 'verifikasi', 'email', 'gaada', 'kelanjutan', 'nya', 'tolong', 'diperbaiki', 'udah', 'coba', 'daftar', 'pake', 'email', 'tetep', 'aja', 'gabisa']",jobstreet sihh akun trus suruh login lupa sandi nya ngubah sandi nya suruh verifikasi email gaada lanjut nya tolong baik udah coba daftar pake email tetep aja gabisa
Pengguna Google,2,2024-12-10 12:39:27,"Dear Jobstreet Tolong lebih diperhatikan lagi terkait database pengguna, Masa gak pernah apply tiba tiba nomor kita dihubungi,mana pake nomor asing bukan nomor indo. Tolong lebih di enkripsi serta di private lagi terkait database pengguna",dear jobstreet tolong lebih diperhatikan lagi terkait database pengguna masa gak pernah apply tiba tiba nomor kita dihubungimana pake nomor asing bukan nomor indo tolong lebih di enkripsi serta di private lagi terkait database pengguna,dear jobstreet tolong diperhatikan terkait database pengguna gak apply nomor dihubungimana pake nomor asing nomor indo tolong enkripsi private terkait database pengguna,"['dear', 'jobstreet', 'tolong', 'diperhatikan', 'terkait', 'database', 'pengguna', 'gak', 'apply', 'nomor', 'dihubungimana', 'pake', 'nomor', 'asing', 'nomor', 'indo', 'tolong', 'enkripsi', 'private', 'terkait', 'database', 'pengguna']",dear jobstreet tolong perhati kait database guna gak apply nomor dihubungimana pake nomor asing nomor indo tolong enkripsi private kait database guna
Pengguna Google,1,2024-12-10 11:53:17,Sudah di complain berulang kali tetap tidak ada tindakan untuk benahi untuk aplikasi,sudah di complain berulang kali tetap tidak ada tindakan untuk benahi untuk aplikasi,complain berulang kali tindakan benahi aplikasi,"['complain', 'berulang', 'kali', 'tindakan', 'benahi', 'aplikasi']",complain ulang kali tindak benah aplikasi
Pengguna Google,1,2024-12-10 10:09:15,Berkali2 sign in gabisa. Aneh banget! Udah reset password berkali2 juga gak ngaruh aneh!,berkali2 sign in gabisa aneh banget udah reset password berkali2 juga gak ngaruh aneh,berkali2 sign in gabisa aneh banget udah reset password berkali2 gak ngaruh aneh,"['berkali2', 'sign', 'in', 'gabisa', 'aneh', 'banget', 'udah', 'reset', 'password', 'berkali2', 'gak', 'ngaruh', 'aneh']",berkali2 sign in gabisa aneh banget udah reset password berkali2 gak ngaruh aneh
Pengguna Google,2,2024-12-10 10:07:08,aneh tiba tiba keluar dari akun waktu di login ulang malah gabisa masuk lagi ke halaman akun jobstreet saya,aneh tiba tiba keluar dari akun waktu di login ulang malah gabisa masuk lagi ke halaman akun jobstreet saya,aneh akun login ulang gabisa masuk halaman akun jobstreet,"['aneh', 'akun', 'login', 'ulang', 'gabisa', 'masuk', 'halaman', 'akun', 'jobstreet']",aneh akun login ulang gabisa masuk halaman akun jobstreet
Pengguna Google,5,2024-12-10 09:46:56,ok,ok,ok,['ok'],ok
Pengguna Google,5,2024-12-10 08:05:29,Terimakasih saya dapat kerjaan dari jobstreet,terimakasih saya dapat kerjaan dari jobstreet,terimakasih kerjaan jobstreet,"['terimakasih', 'kerjaan', 'jobstreet']",terimakasih kerja jobstreet
Pengguna Google,5,2024-12-10 08:05:15,"Jobstreet adalah aplikasi terpercaya bagi perusahaan yang mencari tenaga kerja maupun bagi pencari kerja yang membutuhkan informasi lowongan pekerjaan. Sukses selalu untuk jobstreet dan selalu menjadi berkat bagi bangsa Indonesia, bagi perusahaan dan pencari kerja.",jobstreet adalah aplikasi terpercaya bagi perusahaan yang mencari tenaga kerja maupun bagi pencari kerja yang membutuhkan informasi lowongan pekerjaan sukses selalu untuk jobstreet dan selalu menjadi berkat bagi bangsa indonesia bagi perusahaan dan pencari kerja,jobstreet aplikasi terpercaya perusahaan mencari tenaga kerja pencari kerja membutuhkan informasi lowongan pekerjaan sukses jobstreet berkat bangsa indonesia perusahaan pencari kerja,"['jobstreet', 'aplikasi', 'terpercaya', 'perusahaan', 'mencari', 'tenaga', 'kerja', 'pencari', 'kerja', 'membutuhkan', 'informasi', 'lowongan', 'pekerjaan', 'sukses', 'jobstreet', 'berkat', 'bangsa', 'indonesia', 'perusahaan', 'pencari', 'kerja']",jobstreet aplikasi percaya usaha cari tenaga kerja cari kerja butuh informasi lowong kerja sukses jobstreet berkat bangsa indonesia usaha cari kerja
Pengguna Google,2,2024-12-09 23:33:34,"Aplikasi nya buat naik darah Sudah sign ini, terus klik berikutnya Ga bisa sama sekali Bolak balik begitu aja..",aplikasi nya buat naik darah sudah sign ini terus klik berikutnya ga bisa sama sekali bolak balik begitu aja,aplikasi nya darah sign klik ga bolak aja,"['aplikasi', 'nya', 'darah', 'sign', 'klik', 'ga', 'bolak', 'aja']",aplikasi nya darah sign klik ga bolak aja
Pengguna Google,1,2024-12-09 21:23:33,Jelek ready to find mulu,jelek ready to find mulu,jelek ready to find mulu,"['jelek', 'ready', 'to', 'find', 'mulu']",jelek ready to find mulu
Pengguna Google,1,2024-12-09 16:57:00,Kenapa susah buat log in lagi ini ..,kenapa susah buat log in lagi ini ,susah log in,"['susah', 'log', 'in']",susah log in
Pengguna Google,5,2024-12-09 12:12:50,Done. Well done! Pencarian info lowongan kerja dan melamar kerja begitu mudah.,done well done pencarian info lowongan kerja dan melamar kerja begitu mudah,done well done pencarian info lowongan kerja melamar kerja mudah,"['done', 'well', 'done', 'pencarian', 'info', 'lowongan', 'kerja', 'melamar', 'kerja', 'mudah']",done well done cari info lowong kerja lamar kerja mudah
Pengguna Google,1,2024-12-09 11:43:55,Jobstreet kenapa ya tiba² akun saya logout. Terus saya coba mau login kembali malah nggak bisa terus? Mohon bantuannya mengenai aplikasi ini,jobstreet kenapa ya tiba akun saya logout terus saya coba mau login kembali malah nggak bisa terus mohon bantuannya mengenai aplikasi ini,jobstreet ya akun logout coba login nggak mohon bantuannya aplikasi,"['jobstreet', 'ya', 'akun', 'logout', 'coba', 'login', 'nggak', 'mohon', 'bantuannya', 'aplikasi']",jobstreet ya akun logout coba login nggak mohon bantu aplikasi
Pengguna Google,1,2024-12-09 09:45:05,benerin ngapa ini app nga bisa login lagih,benerin ngapa ini app nga bisa login lagih,benerin ngapa app nga login lagih,"['benerin', 'ngapa', 'app', 'nga', 'login', 'lagih']",benerin ngapa app nga login lagih
Pengguna Google,1,2024-12-09 05:46:58,"Tiba-tiba auto log off. Tidak bisa di login kembali, walau sudah hapus cache, hapus program dan install ulang. Tetap tidak bisa. Kalau lewat browsing, lancar, dan sampai sekarang masih belum ada perbaikan.....",tibatiba auto log off tidak bisa di login kembali walau sudah hapus cache hapus program dan install ulang tetap tidak bisa kalau lewat browsing lancar dan sampai sekarang masih belum ada perbaikan,tibatiba auto log off login hapus cache hapus program install ulang browsing lancar perbaikan,"['tibatiba', 'auto', 'log', 'off', 'login', 'hapus', 'cache', 'hapus', 'program', 'install', 'ulang', 'browsing', 'lancar', 'perbaikan']",tibatiba auto log off login hapus cache hapus program install ulang browsing lancar baik
Pengguna Google,5,2024-12-08 23:33:17,Bagus sihhh aku baru buat lamaran langsung dipanggil interview,bagus sihhh aku baru buat lamaran langsung dipanggil interview,bagus sihhh lamaran langsung dipanggil interview,"['bagus', 'sihhh', 'lamaran', 'langsung', 'dipanggil', 'interview']",bagus sihhh lamar langsung panggil interview
Pengguna Google,1,2024-12-08 21:50:55,"Semenjak jobstreet berubah jadi jobstreet by seek jadi tidak bisa log in , jikalau ada update2 terbaru silahkan tapi mohon segera di tangani dengan cepat kendala yang ada . Saya sudah punya akun pada saat mau log in dengan akun yang sebelumnya terdaftar malah tidak bisa padahal jaringan stabil , mohon untuk di follow up kembali mengenai kendala log in pada update an terbaru aplikasi .",semenjak jobstreet berubah jadi jobstreet by seek jadi tidak bisa log in  jikalau ada update2 terbaru silahkan tapi mohon segera di tangani dengan cepat kendala yang ada  saya sudah punya akun pada saat mau log in dengan akun yang sebelumnya terdaftar malah tidak bisa padahal jaringan stabil  mohon untuk di follow up kembali mengenai kendala log in pada update an terbaru aplikasi ,semenjak jobstreet berubah jobstreet by seek log in update2 terbaru silahkan mohon tangani cepat kendala akun log in akun terdaftar jaringan stabil mohon follow up kendala log in update an terbaru aplikasi,"['semenjak', 'jobstreet', 'berubah', 'jobstreet', 'by', 'seek', 'log', 'in', 'update2', 'terbaru', 'silahkan', 'mohon', 'tangani', 'cepat', 'kendala', 'akun', 'log', 'in', 'akun', 'terdaftar', 'jaringan', 'stabil', 'mohon', 'follow', 'up', 'kendala', 'log', 'in', 'update', 'an', 'terbaru', 'aplikasi']",semenjak jobstreet ubah jobstreet by seek log in update2 baru silah mohon tangan cepat kendala akun log in akun daftar jaring stabil mohon follow up kendala log in update an baru aplikasi
Pengguna Google,3,2024-12-08 16:00:22,Susah login ketika login di arahkan ke website dan ketika berhasil login tidak bisa klik continue,susah login ketika login di arahkan ke website dan ketika berhasil login tidak bisa klik continue,susah login login arahkan website berhasil login klik continue,"['susah', 'login', 'login', 'arahkan', 'website', 'berhasil', 'login', 'klik', 'continue']",susah login login arah website hasil login klik continue
Pengguna Google,1,2024-12-08 14:16:16,Susah banget Lo gin nya kenapa ya,susah banget lo gin nya kenapa ya,susah banget lo gin nya ya,"['susah', 'banget', 'lo', 'gin', 'nya', 'ya']",susah banget lo gin nya ya
Pengguna Google,5,2024-12-08 05:20:47,"Hallo jobstreet, aplikasinya tidak dapat di buka. Kenapa ya?",hallo jobstreet aplikasinya tidak dapat di buka kenapa ya,hallo jobstreet aplikasinya buka ya,"['hallo', 'jobstreet', 'aplikasinya', 'buka', 'ya']",hallo jobstreet aplikasi buka ya
Pengguna Google,5,2024-12-07 22:03:28,Cepat & Akurat,cepat  akurat,cepat akurat,"['cepat', 'akurat']",cepat akurat
Pengguna Google,2,2024-12-07 15:18:29,"Baru kali ini pakai aplikasi untuk melamar kerja tapi data tidak aman, sudah berapa kali nomor saya di chat orang tidak dikenal yang menawarkan hal"" Diluar dari yang pernah saya apply di aplikasi ini, serius ini aplikasi gak bisa jaga kerahasiaan data? Sampe no telp saya kesebar? Setiap ada yang chat selalu isi pesannya dapat dari database jobstreet, tolong diperbaiki ya, kalau udah gini saya juga risih banyak yang chat.",baru kali ini pakai aplikasi untuk melamar kerja tapi data tidak aman sudah berapa kali nomor saya di chat orang tidak dikenal yang menawarkan hal diluar dari yang pernah saya apply di aplikasi ini serius ini aplikasi gak bisa jaga kerahasiaan data sampe no telp saya kesebar setiap ada yang chat selalu isi pesannya dapat dari database jobstreet tolong diperbaiki ya kalau udah gini saya juga risih banyak yang chat,kali pakai aplikasi melamar kerja data aman kali nomor chat orang dikenal menawarkan diluar apply aplikasi serius aplikasi gak jaga kerahasiaan data sampe no telp kesebar chat isi pesannya database jobstreet tolong diperbaiki ya udah gini risih chat,"['kali', 'pakai', 'aplikasi', 'melamar', 'kerja', 'data', 'aman', 'kali', 'nomor', 'chat', 'orang', 'dikenal', 'menawarkan', 'diluar', 'apply', 'aplikasi', 'serius', 'aplikasi', 'gak', 'jaga', 'kerahasiaan', 'data', 'sampe', 'no', 'telp', 'kesebar', 'chat', 'isi', 'pesannya', 'database', 'jobstreet', 'tolong', 'diperbaiki', 'ya', 'udah', 'gini', 'risih', 'chat']",kali pakai aplikasi lamar kerja data aman kali nomor chat orang kenal tawar luar apply aplikasi serius aplikasi gak jaga rahasia data sampe no telp sebar chat isi pesan database jobstreet tolong baik ya udah gin risih chat
Pengguna Google,2,2024-12-07 13:44:32,Aplikasi error ya? Ko di klik berikutnya sehabis log in g bsa terus?,aplikasi error ya ko di klik berikutnya sehabis log in g bsa terus,aplikasi error ya ko klik sehabis log in g bsa,"['aplikasi', 'error', 'ya', 'ko', 'klik', 'sehabis', 'log', 'in', 'g', 'bsa']",aplikasi error ya ko klik habis log in g bsa
Pengguna Google,1,2024-12-07 13:30:48,"Makin sini makin gk jelas apk ini, susah buat login mending bubar aja apknya",makin sini makin gk jelas apk ini susah buat login mending bubar aja apknya,gk apk susah login mending bubar aja apknya,"['gk', 'apk', 'susah', 'login', 'mending', 'bubar', 'aja', 'apknya']",gk apk susah login mending bubar aja apknya
Pengguna Google,1,2024-12-07 09:57:08,nomor telpon bocor kmn² dan sering kali disalahgunakan oleh penipu yg tiba² chat via wa,nomor telpon bocor kmn dan sering kali disalahgunakan oleh penipu yg tiba chat via wa,nomor telpon bocor kmn kali disalahgunakan penipu yg chat via wa,"['nomor', 'telpon', 'bocor', 'kmn', 'kali', 'disalahgunakan', 'penipu', 'yg', 'chat', 'via', 'wa']",nomor telpon bocor kmn kali disalahgunakan tipu yg chat via wa
Pengguna Google,1,2024-12-06 20:52:39,Ahh mkins bapet gak bisa login ulang😡,ahh mkins bapet gak bisa login ulang,ahh mkins bapet gak login ulang,"['ahh', 'mkins', 'bapet', 'gak', 'login', 'ulang']",ahh mkins bapet gak login ulang
Pengguna Google,5,2024-12-06 19:25:12,Terus terang dari dulu sewaktu jaman yahoo sekitar tahun 2000 sampai saya akhirnya ngojek saya belum pernah di pangggil oleh jobstreet ini ..ya mungkin karena saya bodoh kali ya . Sekrang sy umur sudah tua .. pengalaman saja Mohon maaf pa jobstreet,terus terang dari dulu sewaktu jaman yahoo sekitar tahun 2000 sampai saya akhirnya ngojek saya belum pernah di pangggil oleh jobstreet ini ya mungkin karena saya bodoh kali ya  sekrang sy umur sudah tua  pengalaman saja mohon maaf pa jobstreet,terang jaman yahoo 2000 ngojek pangggil jobstreet ya bodoh kali ya sekrang sy umur tua pengalaman mohon maaf pa jobstreet,"['terang', 'jaman', 'yahoo', '2000', 'ngojek', 'pangggil', 'jobstreet', 'ya', 'bodoh', 'kali', 'ya', 'sekrang', 'sy', 'umur', 'tua', 'pengalaman', 'mohon', 'maaf', 'pa', 'jobstreet']",terang jaman yahoo 2000 ngojek pangggil jobstreet ya bodoh kali ya sekrang sy umur tua alam mohon maaf pa jobstreet
Pengguna Google,1,2024-12-06 19:20:40,Koq nggk bisa log in ya loadingnya mutar terus nggk selesai selesai,koq nggk bisa log in ya loadingnya mutar terus nggk selesai selesai,koq nggk log in ya loadingnya mutar nggk selesai selesai,"['koq', 'nggk', 'log', 'in', 'ya', 'loadingnya', 'mutar', 'nggk', 'selesai', 'selesai']",koq nggk log in ya loadingnya mutar nggk selesai selesai
Pengguna Google,5,2024-12-06 18:59:43,Done,done,done,['done'],done
Pengguna Google,3,2024-12-06 16:14:55,Hallo kenapa tidak bisa login..,hallo kenapa tidak bisa login,hallo login,"['hallo', 'login']",hallo login
Pengguna Google,1,2024-12-06 14:56:54,"saya tidak bisa mengirim lamaran pekerjaan, tolong perbaiki",saya tidak bisa mengirim lamaran pekerjaan tolong perbaiki,mengirim lamaran pekerjaan tolong perbaiki,"['mengirim', 'lamaran', 'pekerjaan', 'tolong', 'perbaiki']",kirim lamar kerja tolong baik
Pengguna Google,4,2024-12-06 13:59:18,Sangat cepat sekali membantu,sangat cepat sekali membantu,cepat membantu,"['cepat', 'membantu']",cepat bantu
Pengguna Google,3,2024-12-06 13:45:14,Sekarang aplikasinya makin sulit digunakan terlalu lama loading.,sekarang aplikasinya makin sulit digunakan terlalu lama loading,aplikasinya sulit loading,"['aplikasinya', 'sulit', 'loading']",aplikasi sulit loading
Pengguna Google,2,2024-12-06 09:55:08,"Apknya logout sendiri, mau login lagi tapi ngga bisa, loading terus. Saya baca review lain juga sama problemnya, tolong dong diperbaiki.",apknya logout sendiri mau login lagi tapi ngga bisa loading terus saya baca review lain juga sama problemnya tolong dong diperbaiki,apknya logout login ngga loading baca review problemnya tolong diperbaiki,"['apknya', 'logout', 'login', 'ngga', 'loading', 'baca', 'review', 'problemnya', 'tolong', 'diperbaiki']",apknya logout login ngga loading baca review problem tolong baik
Pengguna Google,5,2024-12-06 07:33:26,Good,good,good,['good'],good
Pengguna Google,5,2024-12-05 23:30:01,Good,good,good,['good'],good
Pengguna Google,5,2024-12-05 20:18:59,Sangat membantu👍,sangat membantu,membantu,['membantu'],bantu
Pengguna Google,2,2024-12-05 17:59:27,uda punya akun tp ttep ga bs dipake. gimana si. pdhl uda d perbarui.. diperbarui malah jd brekele. pas blm d perbarui okeoke aja.,uda punya akun tp ttep ga bs dipake gimana si pdhl uda d perbarui diperbarui malah jd brekele pas blm d perbarui okeoke aja,uda akun tp ttep ga bs dipake gimana si pdhl uda d perbarui diperbarui jd brekele pas blm d perbarui okeoke aja,"['uda', 'akun', 'tp', 'ttep', 'ga', 'bs', 'dipake', 'gimana', 'si', 'pdhl', 'uda', 'd', 'perbarui', 'diperbarui', 'jd', 'brekele', 'pas', 'blm', 'd', 'perbarui', 'okeoke', 'aja']",uda akun tp ttep ga bs dipake gimana si pdhl uda d baru baru jd brekele pas blm d baru okeoke aja
Pengguna Google,1,2024-12-05 16:49:50,"Aplikasi ini sangat jelak dan tidak bagus buktinya saya sampai sekarang belum mendapatkan pekerjaan, plis jangan di download nanti kalian nyesa",aplikasi ini sangat jelak dan tidak bagus buktinya saya sampai sekarang belum mendapatkan pekerjaan plis jangan di download nanti kalian nyesa,aplikasi jelak bagus buktinya pekerjaan plis download nyesa,"['aplikasi', 'jelak', 'bagus', 'buktinya', 'pekerjaan', 'plis', 'download', 'nyesa']",aplikasi jelak bagus bukti kerja plis download nyesa
Pengguna Google,4,2024-12-05 13:50:55,Aplikasi tiba2 keluar terus login lagi malah nggk bisa,aplikasi tiba2 keluar terus login lagi malah nggk bisa,aplikasi tiba2 login nggk,"['aplikasi', 'tiba2', 'login', 'nggk']",aplikasi tiba2 login nggk
Pengguna Google,3,2024-12-05 11:47:18,"Dari dulu setiap lamar dijobstreet ga pernah sampe tahap interview pun ga pernah. Ga tau kenapa, sekedar interview aja pun nggak pernah.",dari dulu setiap lamar dijobstreet ga pernah sampe tahap interview pun ga pernah ga tau kenapa sekedar interview aja pun nggak pernah,lamar dijobstreet ga sampe tahap interview ga ga tau sekedar interview aja nggak,"['lamar', 'dijobstreet', 'ga', 'sampe', 'tahap', 'interview', 'ga', 'ga', 'tau', 'sekedar', 'interview', 'aja', 'nggak']",lamar dijobstreet ga sampe tahap interview ga ga tau dar interview aja nggak
Pengguna Google,1,2024-12-05 11:37:57,Banyak scam susah cari kerja untuk lulusan slta,banyak scam susah cari kerja untuk lulusan slta,scam susah cari kerja lulusan slta,"['scam', 'susah', 'cari', 'kerja', 'lulusan', 'slta']",scam susah cari kerja lulus slta
Pengguna Google,1,2024-12-05 11:04:18,"Nonton video,katanya dapat sertifikat gratis,Kok gak ada ya sertifikatnya...???",nonton videokatanya dapat sertifikat gratiskok gak ada ya sertifikatnya,nonton videokatanya sertifikat gratiskok gak ya sertifikatnya,"['nonton', 'videokatanya', 'sertifikat', 'gratiskok', 'gak', 'ya', 'sertifikatnya']",nonton videokatanya sertifikat gratiskok gak ya sertifikat
Pengguna Google,2,2024-12-05 10:31:04,Gak bisa log in,gak bisa log in,gak log in,"['gak', 'log', 'in']",gak log in
Pengguna Google,3,2024-12-05 09:42:24,Gak bisa login min tolong diperbaiki,gak bisa login min tolong diperbaiki,gak login min tolong diperbaiki,"['gak', 'login', 'min', 'tolong', 'diperbaiki']",gak login min tolong baik
Pengguna Google,5,2024-12-05 09:35:42,Ini kenapa udah login pas continue ga bisa bisa yahhh,ini kenapa udah login pas continue ga bisa bisa yahhh,udah login pas continue ga yahhh,"['udah', 'login', 'pas', 'continue', 'ga', 'yahhh']",udah login pas continue ga yahhh
Pengguna Google,5,2024-12-05 08:50:47,Sangat membantu dalam mempermudah mencari info lowongan,sangat membantu dalam mempermudah mencari info lowongan,membantu mempermudah mencari info lowongan,"['membantu', 'mempermudah', 'mencari', 'info', 'lowongan']",bantu mudah cari info lowong
Pengguna Google,1,2024-12-05 04:59:14,Kenapa setelah di update bukannya mudah malah makin susah ?? Masa setelah login gak bisa di lanjut sih ? Tolong di perbaiki lg sistemnya,kenapa setelah di update bukannya mudah malah makin susah  masa setelah login gak bisa di lanjut sih  tolong di perbaiki lg sistemnya,update mudah susah login gak sih tolong perbaiki lg sistemnya,"['update', 'mudah', 'susah', 'login', 'gak', 'sih', 'tolong', 'perbaiki', 'lg', 'sistemnya']",update mudah susah login gak sih tolong baik lg sistem
Pengguna Google,5,2024-12-04 22:57:54,Done,done,done,['done'],done
