content,score,Label
Koq nggk bisa log in ya loadingnya mutar terus nggk selesai selesai,1,negatif
Done,5,positif
"saya tidak bisa mengirim lamaran pekerjaan, tolong perbaiki",1,negatif
Sangat cepat sekali membantu,4,positif
"Apknya logout sendiri, mau login lagi tapi ngga bisa, loading terus. Saya baca review lain juga sama problemnya, tolong dong diperbaiki.",2,negatif
Good,5,positif
Good,5,positif
Sangat membantu👍,5,positif
uda punya akun tp ttep ga bs dipake. gimana si. pdhl uda d perbarui.. diperbarui malah jd brekele. pas blm d perbarui okeoke aja.,2,negatif
"Aplikasi ini sangat jelak dan tidak bagus buktinya saya sampai sekarang belum mendapatkan pekerjaan, plis jangan di download nanti kalian nyesa",1,negatif
Aplikasi tiba2 keluar terus login lagi malah nggk bisa,4,positif
Banyak scam susah cari kerja untuk lulusan slta,1,negatif
"Nonton video,katanya dapat sertifikat gratis,Kok gak ada ya sertifikatnya...???",1,negatif
Gak bisa log in,2,negatif
Ini kenapa udah login pas continue ga bisa bisa yahhh,5,positif
Sangat membantu dalam mempermudah mencari info lowongan,5,positif
Kenapa setelah di update bukannya mudah malah makin susah ?? Masa setelah login gak bisa di lanjut sih ? Tolong di perbaiki lg sistemnya,1,negatif
Done,5,positif
"Min, aku kok ngga bisa masuk ya, email sama Pw betul,tapi tampilan nya malah tulisan ""siap menemukan pekerjaan mu selanjutnya"" ad tombol Button ""Berikut nya"",diklik ngga bisa masuk🗿🗿, udh ad 10 menitan aku tunggu ngga bisa apa kendalanya min??, saya kasih 2 bintang dulu",2,negatif
Ok,5,positif
Payah jobstreet sekarang banyak perusahaan bodong masuk,1,negatif
Bagus,5,positif
Tiba tiba log out tidak bisa log in,1,negatif
"Ini kenapa gak bisa masuk,, padahal saya sudah punya akunnya",1,negatif
"Saya udah punya akun dan ga pernah logout, kenapa tiba² akun saya keluar sendiri? Dan mau masuk pakai id&pw stak di berikutnya, pakai akun google juga stak loading terus, tolong gimana pihak PT jobstreet tanggapan nya.",1,negatif
GK bisa login,1,negatif
"Tolong diperbaiki dong ini udah punya akun tbtb akunya keluar, mau login lgi malah gk bisa",1,negatif
Done,5,positif
Info selalu up date & cepat respon nya 👍👍,5,positif
"Hi, sayang sekali ini kenapa saya tidak bisa login, sudah di coba lewat web juga tidak bisa, tolong bantuannya, Terimakasih🙏🏻",4,positif
"apa jaringan muter""terus masuk aplikasi gak bisa, aplikasi apaan Gak guna",1,negatif
"Mantabss, mdh2an cepat dapat kerja kembali 👍👍👍",5,positif
Very inspiring and very helpful. Thank you very much,5,positif
Mantap bisa membantu,5,positif
"Dari taun jebot ampe sekarang belum pernah dapet kerja lewat jobstpreeeet, kebanyakan loker fiktif yg ujung2nya penipuan.",5,positif
"Kenapa sampai saat ini masih tidak bisa untuk login, sudah di kirim email tapi tetap tidak ada respon nya",1,negatif
Dulu bagus kenapa sekarang login seek gak bisa??? Siap menemukan pekerjaanmu selanjutnya??? Tekan berikutnya tapi gak mau masuk ????,1,negatif
Kok ga bisa masuk ke akunku ya? Udh dicoba berkali2 dan password jg udh bener,1,negatif
"Tiba2 pas saya masuk buat apply langsung di suruh log in ulang dan pas saya sudah log in malah data saya hilang padahal Email sudah benar dan malah di suruh buat Email dan akun baru, tolong lah perbaiki saya kan juga pusing kalau dari awal.. lamaran saya sebelumnya juga bagaimana, niat nya mau apply malah di bikin ribet.",1,negatif
"Lowongannya palsu,kalau emang ada lowongaannya harusnya PT itu ada nomer tlp nya,gak jelass ni aplikasinya",1,negatif
Ok,5,positif
Tolong perbaiki masalah tidak bisa login ulang. Padahal sudah punya akun. Tapi saat login ga bisa di lanjutkan.,4,positif
Sudah kirim lamaran sebanyak apapun tetap aja tidak ada tanda-tanda panggilan,5,positif
"Susah login, tampilan berubah seperti web, apakah keamanan data terjamin?",1,negatif
Aplikasi sering ngebug saat dipakai login,1,negatif
"Sebelumnya applikasi ini oke, tapi kok ini jadi lemot banget, mau unggah cv aja ngga bisa2 buttonnya",2,negatif
"gajelas gabisa login, daftar baru jg gbsa",1,negatif
Good,5,positif
Cepat dan update,4,positif
Kenapa tidak bisa login? Apakah ada dicheck oleh pihak IT? Udah banyak yang komplain terus tidak ada perbaikan apa-apa,1,negatif
"Bagaimana ya filternya, hari ini tgl 29nov filter utk Bogor satupun tidak ada daerah Bogor, model machine learningnya keliru atau bgmn ya",1,negatif
"Aplikasi saya keluar sendiri ,ketika log in lagi , hnya keluar selanjutnya,tapi pas di klik ngk bisa2",1,negatif
Tidak bisa login di sy,1,negatif
Apk ini Gak rekomended. Mending Glints atau LinkedIn,1,negatif
"Kenapa sekarang aplikasinya jelek ya,diupdate bukanya tambah bagus,tp nambah susahin pengguna,udah komplain csnya dan udah saya lakuin,tapi masih utuh belum bisa digunakan,diklik berikutnya juga belom bisa,dan update apk masih utuh belum bisa,udah komplain juga",1,negatif
Ini knapa sy login kaga bisa2.. Di klik gbs2,1,negatif
AKSES DIBLOKIR : Permintaan Seek tdk mematuhi kebijalan Google. Masih sama hampir sebulan gk bisa masuk gmn nih.. Masuk pake' akun goole gk bisa pake' fb gk bisa. Makin rusak aja nih aplikasi.,2,negatif
Aplikasi gak berguna notif doang setiap hari di lamar gak ada respon,1,negatif
"Gatau saya kayaknya gapernah download aplikasi ini, kemarin tiba tiba ada yang nawarin job freelance, mengubungi lewat wa,katanya dpt nomer saya dari database dsini. Mana yang WhatsApp saya kaya penipuan tidak masuk akal.",1,negatif
"Kenapa saya tidak bisa login di aplikasi, selalu diarahkan ke websitenya",1,negatif
"aplikasi ga guna banyak loker bodongnya, ga masuk aka masal mau kerja disuruh bayar.",1,negatif
Gak bisa login. Padahal email sama pasword dah benar.,1,negatif
Kenapa saya tidak bisa login padahal akun saya sudah ada dan sandinya benar semua tapi saya tidak bisa login..,2,negatif
puas,4,positif
"Login issue, bad app",1,negatif
tdk bisa log in pakai google walaupun log in manual jg ga bisaaa,1,negatif
bagus semua,5,positif
"Aplikasi tidak berguna, tidak bisa login",1,negatif
Gak bisa login sdh pakai 3 akun. WHY?,1,negatif
ga bisa login... aneh,1,negatif
dari pertama kali instal tahun 2022 sampai sekarang boleh dibilang hampir setiap hari daftar loker yang ada disini tapi sama sekali belum pernah ada panggilan sama sekali ! gimana ini jobstreet,1,negatif
"After update, problem sign in,..OMG",1,negatif
log out sndiri log in susah masuk kirim email gak meyelesaikan masalah,1,negatif
"Udah cari kerja gak dapet mulu, ini sekarang akun Jobstreet ke log out sendiri, log in balik malah error. Udah tau saya lagi susah banget dapet kerja, jangan lah makin mempersulit. Ampun dah",1,negatif
Ini gmna aplikasi ha jelas udh di dowlod ngk bs di buka,1,negatif
"Good jobs, Sanga membantu dalam mencari pekerjaan.... sangat recommended 😊",5,positif
Tidak bisa masuk akun,2,negatif
"Saya daftar akun kenapa ga bisa , 3 jam saya mencoba ga bisa ,",1,negatif
"Jobstreet nya sampai sekarang apa masih problem ya, soal nya aku mau login sampai sekarang masih susah, ini gimana ya, mana saya lagi cari kerjaan lagi.",4,positif
Electrician,5,positif
Nice,5,positif
"Kenapa mau login tidak bisa, sudah diklik tombol berikutnya, ga ada respon sama sekali dari aplikasinya, terus kalau login pakai akun google malah loading terus ga masuk2",1,negatif
Di aplikasi HP kok tau2 logout sendiri dan gk bisa login. Udh di uninstall terus install ulang tapi sama aja,2,negatif
Semoga aku mendapatkan pekerjaan lebih mudah ya Allah 🤲 aamiin semoga tidak banyak hoax atau harus keluar biaya dulu setelah itu dibawa kabur uangnya ✌️✌️,5,positif
Oke,5,positif
"Kenapa sy tbtb logout di hp dan ketika login lg ga bisa, loading terus. Udah direset password jg ga bisa masuk",1,negatif
tiba2 akun ke log out pas login lagi ga bisa,2,negatif
Aplikasi ga bisa di buka parah,1,negatif
Heran deh setiap ngelamar kenapa lokernya slalu kadaluarsa? Padahal itu loker baru aja dipost loh!!!! Dan gk 1 atau 2 loker dan itu semua loker yg dilamar 👎👎👎👎,1,negatif
"Akun tiba"" Keluar",1,negatif
Informasi Lokernya bermanfaat,5,positif
Udah gak bisa digunakan. Signal bagus tetap gak bisa login. Aplikasi bangkrut,1,negatif
"sering nipu lewat wa dengan mengatasnama kan jobstreet dan pas di jawab chat nya malah di blok dan suka spam chat, ketika saya kasarin mereka ga senang dengan mengancam saya dan meyebarkan kan nomor hp saya.",1,negatif
Kenapa ya kok gk bsa masuk padahal kluar kluar sendiri dari apklikasi .giliran masuk ngk BSA .,1,negatif
"Kok jb jadi aneh ya tampilan nya, ga se simple dulu",5,positif
"saya udah 3 hari login kok ga bisa2 sih, tolong dong min dibantu diperbaiki sistemnya",1,negatif
Tolong donk diperbaiki saya login tidak bisa yang awalnya logout sendiri sekarang mau login gak bisa terus hanya ada tulisan berikutnya saja bagaimana ini kendala seperti ini,1,negatif
"Woi?, tolong carikan saya lowongan pekerjaan di kantor saja di penempatan batam, lowongan pekerjaan di kantor mana saja, kecuali accounting dan purchasing, gak mau tahu aku, tolong carikan, tanpa pengalaman, dan sallarynya kurang lebih empat digit. Harus bisa. Kalao gak, aku laporkan ke atasan kalian atau ke salah satu instansi pemerintah.Gak Mau Tahu Aku. Pokoknya, Harus Bisa. TITIK, GAK PAKAI KOMA.😡😡😡...",1,negatif
Sangat membantu sekali,5,positif
INI MAKSUDNYA GIMANA GAK BISA AKSES SEJAK DI BELI SEEK!!! TEKAN BERIKUTNYA GAK BISAA!!!,1,negatif
Tiba-tiba ga bisa masuk entah kenapa 👎😩,1,negatif
"Dasar nih aplikasinya Ini aplikasi jobstreet kenapa sih, pas saya login masukkin email dan password trs klik berikutnya malah gak bisa masuk ke akun . Padahal udah klik ""BERIKUTNYA"" terus kok masih tetap gak bisa masuk ke akun saya ya  Tolong diberi solusinya dong, soalnya saya lagi cari loker  Sudah saya email ke cs nya berkali kali pun gak dibalas !!!!!!!!!!!!! Tolong balas email saya dan kasih solusinya",1,negatif
"aplikasi gila udah apply 200 lebih, yg nyangkut malah yg nyangkut perusahaan ga jelas yg ujung2nya minta duit",1,negatif
Info lowongan makin sedikit saja Udah tidak bisa di harapkan lagi Indonesia lagi tidak baik baik saja,1,negatif
Aplikasi apa ini gak bisa login banyak kali permintaan nya,1,negatif
"Aplikasi keluar sendiri, dan pada saat mau masuk stuck atau freeze, mau buat akun baru juga gak bisa.",2,negatif
"Apalah cobak ,tiba2 akun ku keluar sendiri .pas mau login tidak bisaaa",1,negatif
Kenapa beberapa hari ini Jobstreet tidak bisa login di hp ??? Sudah masukan Password berkali-kali setiap hari tetap tidak bisa kebuka,2,negatif
"Jobstreet kenapa ya sudah 2 hari gabisa login melalui apknya padahal sinyal bagus, bisanya login melalui web itu kenapa yaaa",1,negatif
Ini kenapa tiba tiba logout sendiri ? Dan gak bisa login lg Loading nya terlalu lama!!!,1,negatif
"Banyak lowong pekerjaan, tapi aku pengen sebuah fitur yang kalau melihat profil perusahaan selain terdapat deskripsi perusahaan terdapat juga lowongan pekerjaan apa saja yang di buka oleh perusahaan tersebut, aku tidak menemukan fitur itu di jobstreet malah aku menemukan fitur tersebut di kitalulus. Tolong buatkan fitur tersebut biar aku juga nyaman menggunakan aplikasi jobstreet. Terimakasih :)",2,negatif
Jobstreet sll membantu sya dn mudah sekali untuk mencari informasi pekerjaan smga lancar,5,positif
Kerjaannya pada gak jelas semua.. Udah 6 tahun pake jobstreet gak pernah dapat kerjaan dari sini,1,negatif
Sya sudah berkali kali dapat pekerjaan dari aplikasi ini . Terimakasih jobstreet .semoga pembuat aplikasi ini diberi umur panjang dan rezeki yang berlimpah .Amin,5,positif
"Udah gak kaya dulu, jobstreet hanya mementingkan uang dari pada menyalurkan loker, SERING DI PANGGIL INTERVIEW SAMA YAYASAN BODONG YG DISURUH BAYAR DULU BUAT EMBEL² GA JELAS YG UJUNG NYA NIPU!!",1,negatif
Gak guna,1,negatif
makasii jobstreet udah wujudin dapet kerjaan yg sesuai dan aku mau 🥺🥺❤️,5,positif
"Aplikasinya ga bisa login, tolong segera diperbaiki",1,negatif
"Kenapa tidak bisa masuk ke akun, harus login ke seek, tapi tidak bisa masuk,dan tidak mau dipencet ,minta tolong di benahi",2,negatif
Bgus,5,positif
Oke,4,positif
Kenapa saya gak bisa login login untuk buat akun,4,positif
G bisa install,1,negatif
saya rasa tidak perlu ada notifikasi lamarab ditutup atau kadaluwarsa karena hanya membuat sakit hati dan menambah sampah di penyimpanan email,2,negatif
Aplikasi gak guna. Gak bisa login. Tolol,1,negatif
"aplikasi nya bagus,,,tapi sayangnya melamar lewat ini ga ada panggilan kerja mya",4,positif
Inklusif,5,positif
Saling memberi dan menerima info,5,positif
"banyak loker palsu. fitur pengiklan anonim malah membuat semakin banyak loker bodong. dan anehnya perusahaan yang sudah diverifikasi, ternyata perusahaan bodong. saya sudah cek diberbagai sumber di internet, dan tidak menemukan informasi mengenai perusahaan tersebut. padahal di aplikasi jobstreet terverifikasi. selang berapa lama setelah melamar di perusahaan tersebut, ada beberapa WA yang saya terima, menawarkan loker, dan pastinya itu bodong.",1,negatif
"Aplikasi'y gak jelas,, Udah daftar & mau login malah gak bisa masuk,, Udah klik ""BERIKUTNYA"" tetep aja gak masuk2,, Tolong di perbaiki lah..",1,negatif
Susah buat daftar nya gajelas malah nge stuck di sig in masuk ke akun google. Pokoknya gjls nih aplikasi. Apk gjls cokkkk,1,negatif
"Ratusan loker saya lamar tapi blum pernah satu pun di panggil,perlu tinjauan dari sistem aplikasinya",1,negatif
"kaga guna,isinya nipu smua,gsh di download",1,negatif
"banyak yg tipu"" panggilannya diruko""terus dimintain uang",1,negatif
sekarang buat daftar jobstreet susah🥲🥲,1,negatif
Uda setahun lebih tidak pernah ada panggilan dari jobstreet,1,negatif
Bagus banget skrng aplikasinya,5,positif
Gabisa dijalankan dengan baik,1,negatif
"Aplikasinya kok error tidak bisa di buka, ada masalah apa?",5,positif
Ter-Baik,5,positif
Berapa kali sign in malah gk bisa balik ke aplikasi,1,negatif
"Mantap berbagai bidang pekerjaan lengkap bangeut , sangat bermanfaat bagi para pencari kerja tanpa adanya pungutan biyaya",5,positif
Keren tampilan yang sekarang.. Sebenernya untuk aplikasinya sendiri itu udah lumayan lengkap... Cuman mungkin kadang banyak yg kurang paham cara penggunaan nya aja...resume masuk dan direview pun udh ada notifnya juga lgsg ke email... Semoga Take responsibility dari pihak company nya bisa fast respon...,5,positif
Hasil Pencariannya tidak sesuai dengan yang di cari. Yang di cari apa yang keluarnya apa 😔 Banyak loker palsu jg,2,negatif
"setelah log in dan berhasil kenapa gabisa ke beranda? di pencet continue gabisa , giliran di back disuruh log in lagi",2,negatif
Nice,4,positif
Good,5,positif
"Minimal perbaikin server nya, mau upload 2MB aja sampe 5 jam ga kelar kelar",1,negatif
Susah mau masuknya,1,negatif
Banyak loker palsu,1,negatif
Good job,5,positif
Bermanfaat,5,positif
Apk bisa di andalkan,5,positif
Kenapa saya unggah resume selalu default ya ? File sudah kecil juga dan sudah sesuai,2,negatif
"Aplikasi GK real menurut ku ,udh 1 THN cari lamaran di sini sekalipun GK ada tanggapan haduhh",1,negatif
"Saat ini aplikasinya sedang tidak bisa digunakan atau bagaimana, kok mau login tidak bisa padahal sudah masukkan email dan sandi dengan benar hanya ngefrezze saja, dengan notif menampilkan lmaran pekerjaan sesuai profil",2,negatif
jangan gampang percaya dapet loker di apk ini karena masih banyak yang nipu tolong developer di filterisasi info lowongan kerja nya,1,negatif
"Maaf nih buat aplikasi kalau kasih kerjaan yang bener dong masa pekerjaan penipu di masukin ke aplikasi,kita tuh kerja buat cari uang bukan buat di mintain uang,nih buat nama yang bikinin loker FNB(apply.hikarusushi) dan skrng banyak banget pelamar di tebet dan itu di mintain duit sebesar 1jt,tolong dong kan kasihan buat orang yang udh ngasih duit tapi ga langsung kerja atau ttd kontrak.tolong dong buat apk jobstreet buat loker yang lebih jelas jangan ada penipuan,TERIMAKASIH 🙏",1,negatif
Gak pernah ada respon kalo apply di sini.,1,negatif
Lokernya gk ada respone,1,negatif
Pas kirim Lamaran Ada masalah Maaf tidak bisa melamar karna Belum atur negara .lah padahal udah gw atur. Mohon respons,4,positif
"udah berkali kali mencoba login, kaga bisa",1,negatif
Sangat membantu mendapatkan pekerjaan.,5,positif
Sy sdh banyak mengirim lamaran melalui aplikasi ini sampe sekarang gak ada info gagal atau tidak nya yg ada panggilan palsu ke ruko ruko bukan ke PT langsung. Aplikasi tidak meyakinkan.,1,negatif
Semua aplikasi pencari kerja saat ini adalah aplikasi pencari uang yg menipu orang yg benar benar membutuhkan pekerjaan,1,negatif
Setelah diupdate tidak bisa log in ke akun yang sebelumnya. hanya stuck.,1,negatif
"Banyak penipuan najisss, penyedia aplikasi ga bisa filter perusahaan yang bener?penipuan semua isinya NAJISSSS",1,negatif
Tuhan memberikan saya pekerjaan yang baik melalui aplikasi ini..Thx,5,positif
Mantap Caur :),5,positif
"Kok stelah di update gabisa log in by aplikasi, pasti langsung ke browser, padahal di browser udah masuk, tapi di aplikasi ga masuk terus,",2,negatif
"Kocak bener isi nya mafia dapet chat wa bukan nama PT yg dilamar ,untung searching2 dulu di chrome,medsos.ternyata alamatny bodong smua.",1,negatif
Tidak bisa login!,1,negatif
Pengalaman pakai apliaksi jobstreet bnyak lamaran yang gagal boro2 di liat HR info slalu di tutup bagi kawan2 jgn pakai aplikasi job steet ini ngga guna,1,negatif
"Kenapa saya gk bisa login ya? Padahal sudah pakai berbagai akun, google fb daftar baru sama saja tidak bisa login.",1,negatif
"Terima kasih jobstreet,",5,positif
Aplikasi sampah banyak penipuan lowongan kerja dasar apk sampah,1,negatif
Gimana ini jobstreet...lowongan sudah kedaluarsa masih dipasang aja...tolong yang bener dong klo pasang iklan lowongan pekerjaan...bukan lowongan hoax Banyak lamaran kerja yg saya lamar...rata2 lowongan sdh kedaluwarsa....sebagai pencari kerja terua terang saya kecewa... Iklan lowongan & rekomendasi pekerjaanmu Palsu ternyata...,1,negatif
"Yang dicari lokasi tangerang, yang muncul jakarta.. Hahaha lucu",1,negatif
Kalo masih SMA bisa ga ya 😌😌,5,positif
"Sangat membantu, bagi pencari kerja",5,positif
Semoga bisa dapat pekerjaan disini,5,positif
Di update malah logout dan gak bisa login lagi.,1,negatif
Terimakasih kepada aplikasi jobstreet dapat berguna untuk mencari lowongan pekerjaan,5,positif
Tolong diperbaikin lagi lowongan kerja banyakan penipu saya adalah korban atas nama pt minta uang ke saya,1,negatif
"JOBSTREET BEKERJA SAMA DENGAN KOMPLOTAN PENIPU PENCAKER DENGAN MENERIMA PERECRUITAN ANONIM DAN PERUSAHAAN YG TIDAK TERVERIFIKASI . JADI KALIAN HARUS HATI-HATI ! JIKA PIHAK JOBSTREET TIDAK TER AFILIASI DENGAN MEREKA LANGSUNG TINDAK DAN BERIKAN SYARAT YG JELAS UNTUK PARA PERECRUIT ! JANGAN NUNGGU DIKIT2 DI SURUH LAPOR,TAPI TIDAK DI TINDAK TEGAS KARNA BAGIAN DARI JOBSREET .",1,negatif
"Tolong diperbaiki lagi karena nulis pengalaman kalo Wiraswasta, tidak bisa ditulis nama perusahaan pribadi, dan di bagian lisensi kalo nulis Mini Bootcamp tidak ada, selain itu tidak bisa upload bukti Sertifikat di bagian Lisensi.",5,positif
Ok,5,positif
"Jobstreet merupakan aplikasi terbaik yang selama ini menemaniku dalam meniti dan merintis karir. Tanpa mengurangi rasa Hormat saya, Terima kasih yang sebesar-besarnya pada seluruh pihak Jobstreet. Is The Best Application",5,positif
apk penipuan ga terjamin,1,negatif
"Pengalaman saya bekerja di bidang purniture perna di bagian sopa,sepringbed,minimalis sebagai sales marketing",5,positif
"Saran, tolong ditambah opsi filter rentang pengalaman.",4,positif
Ok,5,positif
Aplikasi susah dipake,1,negatif
Saya minta tolong infonya yg akurat dan terpercaya masalah informasi lowongan pekerjaan supir di perusahaan Pekanbaru Riau cukup terima kasih atas infonya yg selama ini semoga bermanfaat dan sukses selalu,5,positif
rekomendasi,5,positif
"APLIKASI PENCARI KERJA KUALITAS BUSUK, SUDAH LAMAR 2 TAHUN PAKAI APLIKASI INI, TANPA ADA SATUPUN YG DI PANGGIL PROSES WAWANCARA, CUMA NGABISIN KUOTA, HABISIN WAKTU SCROL DAN ISI FORMULIR LOWKER",1,negatif
"Untuk developer mohon perbaiki apk nya, Saya sudah berusaha login dan setelah memasuki email tidak bisa di klik selanjutnya, aplikasi gak jelas.",1,negatif
The best,5,positif
Good,5,positif
"Jangan mau install ni aplikasi karena engga terlalu bantu banget , mending lu cr lewat web official perusahaan nya aja soalnya ni app database lu bisa bocor bakal kena spam wa dr orang lain yang nawarin kerjaan online yg GK jelas. Tolong buat developer nya kok bisa database pelamar bocor? Kecewa",1,negatif
Sulit untuk login padahal sudah buat akun. Username sama password sama tpi tdk bisa login mohon di evaluasi,1,negatif
Sangat membantu,5,positif
"Baca ya developer jobstreet! Kenapa apk logout tiba2? Saya udh coba kembali login lewat Facebook, baik lwt Chrome di laptop / Chrome di android BISA LOGIN. Tapi kenapa GAK BISA LOGIN lewat Facebook di APK nya? Udh klik ""lanjutkan sebagai Dewa Gede"" tapi malah muncul ""maaf ada kesalahan"" Perbaiki dong aplikasinya! Masa harus bikin akun lagi pake email lain?",1,negatif
"Tolol mau sign in, malah diarahin ke web",1,negatif
"banyak loker palsu, entah bagaimana sistem verikasi di jobstreet masih banyak penipuan. developer hanya mengandalkan sistem report bukan razia loker palsu.",2,negatif
gara' apk ini gw ketipu,1,negatif
Semoga ponakan dapat kerjaan,5,positif
"Banyak sekali lowongan kerja palsu, seperti menuliskan benefit yang tidak masuk akal, dan tempat interview rata2 kebanyakan di ruko² tidak jelas, kasian terhadap fresh graduate yang masih awam, tolong di perketat lagi untuk pihak aplikasi.",1,negatif
Good...,5,positif
Isi profilnya terlalu sulit dan tidak ada untuk lulusan,2,negatif
"terimakasih atas aplikasinya,teknik pertanian padi hasilnya memuaskan,,untuk seluruh rakyat petani padi,,harap dipercepat,,aku yg punya teknik itu,,siap mengajarkan teknik itu dengan waktu singkat,,_+,biarpun anggaran yg cukup besar yg hanya satu kali,,harap dierbandinggkan,dengan hasilnya,,2/25/2500,sampai,2/75/7500,,investasi bukan uang tapi mirip uang,,",5,positif
"Sudah melamar kerja sana sini di jobstreet ga ada kejelasan waktu diterima atau tidaknya, sudah tiga minggu lebih saya tunggu informasi kelanjutan 😌🙏",1,negatif
Sejauh pakai apk ini untuk melamar kerja belum pernah dapat panggilan 😭😭,1,negatif
"Apply nya gampang, tapi tolong dong difilter lagi, masa lebih banyak lowongan penipuan, palsu dll. Kasian untuk para pencari kerja.",5,positif
"Masukin lamaran 53 perusahaan satupun blom ada yg dipanggil, jgn2 fiktif smua....",1,negatif
Sangat membantu buat para pejuang para pencari kerja..terimakasih jobstreet..,5,positif
"Ok, skrg Min, Terima kasih",5,positif
Ketika masuk D jobstreet express pas ngisi alamat tiap hari muter terus. Gimana mau ngelamar. Jobstreet sekarang ga seperti dulu,1,negatif
Membantu,5,positif
"Banyak loker bodong hati²,terus di pencarian juga suka gak relevan sama yg kita ketik",1,negatif
Banyak loker fiktif. Anonim. Penipuan. Kasian pelamar yang tidak tahu. Lebih diperhatikan selektif dalam menyaring lowongan pekerjaan.,1,negatif
Ok,5,positif
