userName,score,at,content,text_clean,text_Stopword,text_tokens,text_tokens_stemmed,Label
Pengguna Google,5,2025-02-03 16:08:25,"Mudah mudahan bermanfaat bagi umat manusia banyak, barokah",mudah mudahan bermanfaat bagi umat manusia banyak barokah,mudah mudahan bermanfaat umat manusia barokah,"['mudah', 'mudahan', 'bermanfaat', 'umat', 'manusia', 'barokah']",mudah mudah manfaat umat manusia barokah,positif
Pengguna Google,5,2025-02-03 15:39:56,ok,ok,ok,['ok'],ok,positif
Pengguna Google,1,2025-02-03 14:37:36,"kenapa koin maneki ga bisa di trade?saya mau bikin laporan ke live chat gabisa,buffer mulu,gajelas",kenapa koin maneki ga bisa di tradesaya mau bikin laporan ke live chat gabisabuffer mulugajelas,koin maneki ga tradesaya bikin laporan live chat gabisabuffer mulugajelas,"['koin', 'maneki', 'ga', 'tradesaya', 'bikin', 'laporan', 'live', 'chat', 'gabisabuffer', 'mulugajelas']",koin maneki ga tradesaya bikin lapor live chat gabisabuffer mulugajelas,negatif
Pengguna Google,5,2025-02-03 08:18:52,"its work, very very good",its work very very good,its work very very good,"['its', 'work', 'very', 'very', 'good']",its work very very good,positif
Pengguna Google,1,2025-02-03 00:00:18,Makin turun awal doang bagus lama lama rugi jgn pke reku,makin turun awal doang bagus lama lama rugi jgn pke reku,turun doang bagus rugi jgn pke reku,"['turun', 'doang', 'bagus', 'rugi', 'jgn', 'pke', 'reku']",turun doang bagus rugi jgn pke reku,negatif
Pengguna Google,1,2025-02-02 23:20:05,"EXCHANGE PALING BURUK. KALO LOKAL MENDING KE INDODAX, PLUANG, TOKOCRYPTO.. GLOBAL TETAP BINANCE.. APAAN DAH GAP PASAR JAUH BANGET NJERR, YANG ADA BUNTUNG DULUAN DIDAPAT HHHH.",exchange paling buruk kalo lokal mending ke indodax pluang tokocrypto global tetap binance apaan dah gap pasar jauh banget njerr yang ada buntung duluan didapat hhhh,exchange buruk kalo lokal mending indodax pluang tokocrypto global binance dah gap pasar banget njerr buntung duluan hhhh,"['exchange', 'buruk', 'kalo', 'lokal', 'mending', 'indodax', 'pluang', 'tokocrypto', 'global', 'binance', 'dah', 'gap', 'pasar', 'banget', 'njerr', 'buntung', 'duluan', 'hhhh']",exchange buruk kalo lokal mending indodax pluang tokocrypto global binance dah gap pasar banget njerr buntung duluan hhhh,negatif
Pengguna Google,4,2025-02-02 11:49:01,Saran kedepanya untuk login lupa sandi lebih dipermudah lagi terimakasih,saran kedepanya untuk login lupa sandi lebih dipermudah lagi terimakasih,saran kedepanya login lupa sandi dipermudah terimakasih,"['saran', 'kedepanya', 'login', 'lupa', 'sandi', 'dipermudah', 'terimakasih']",saran depa login lupa sandi mudah terimakasih,positif
Pengguna Google,5,2025-02-01 16:51:42,"ubur-ubur ikan lele, Reku mantep le",uburubur ikan lele reku mantep le,uburubur ikan lele reku mantep le,"['uburubur', 'ikan', 'lele', 'reku', 'mantep', 'le']",uburubur ikan lele reku mantep le,positif
Pengguna Google,1,2025-02-01 16:49:16,"CEX HINA ,CEUTOMER SERVICE MAGANG,GAADA UPDATE UDAH KAYA MAU BANGGKURT ,GUE SARANIN JANGAN PAKE REKU .",cex hina ceutomer service maganggaada update udah kaya mau banggkurt gue saranin jangan pake reku ,cex hina ceutomer service maganggaada update udah kaya banggkurt gue saranin pake reku,"['cex', 'hina', 'ceutomer', 'service', 'maganggaada', 'update', 'udah', 'kaya', 'banggkurt', 'gue', 'saranin', 'pake', 'reku']",cex hina ceutomer service maganggaada update udah kaya banggkurt gue saranin pake reku,negatif
Pengguna Google,5,2025-02-01 12:36:59,ok,ok,ok,['ok'],ok,positif
Pengguna Google,5,2025-01-31 14:55:26,Baik,baik,,[],,positif
Pengguna Google,5,2025-01-31 08:28:06,mntap,mntap,mntap,['mntap'],mntap,positif
Pengguna Google,5,2025-01-30 19:20:26,bagus buat belajar,bagus buat belajar,bagus belajar,"['bagus', 'belajar']",bagus ajar,positif
Pengguna Google,5,2025-01-29 17:59:23,saya kasih 5bintang untuk aplikasi ini karena saya masih punya akun aktif selama ini semoga bisa saya manfaatkan untuk menambah modal usaha saya🙏,saya kasih 5bintang untuk aplikasi ini karena saya masih punya akun aktif selama ini semoga bisa saya manfaatkan untuk menambah modal usaha saya,kasih 5bintang aplikasi akun aktif semoga manfaatkan menambah modal usaha,"['kasih', '5bintang', 'aplikasi', 'akun', 'aktif', 'semoga', 'manfaatkan', 'menambah', 'modal', 'usaha']",kasih 5bintang aplikasi akun aktif moga manfaat tambah modal usaha,positif
Pengguna Google,2,2025-01-29 14:36:46,reku biaya penarikan uang paling mahal diantara aplikasi yg lain 🥲,reku biaya penarikan uang paling mahal diantara aplikasi yg lain ,reku biaya penarikan uang mahal aplikasi yg,"['reku', 'biaya', 'penarikan', 'uang', 'mahal', 'aplikasi', 'yg']",reku biaya tari uang mahal aplikasi yg,negatif
Pengguna Google,5,2025-01-29 09:35:38,Apk nya bagus mudah di pahami bagi pemula yg belajar invest crypto,apk nya bagus mudah di pahami bagi pemula yg belajar invest crypto,apk nya bagus mudah pahami pemula yg belajar invest crypto,"['apk', 'nya', 'bagus', 'mudah', 'pahami', 'pemula', 'yg', 'belajar', 'invest', 'crypto']",apk nya bagus mudah paham mula yg ajar invest crypto,positif
Pengguna Google,5,2025-01-28 19:22:32,Nicee,nicee,nicee,['nicee'],nicee,positif
Pengguna Google,5,2025-01-28 19:03:44,"Mudah di gunakan, biaya transfer murah. Cuma koin crypto kurang banyak..",mudah di gunakan biaya transfer murah cuma koin crypto kurang banyak,mudah biaya transfer murah koin crypto,"['mudah', 'biaya', 'transfer', 'murah', 'koin', 'crypto']",mudah biaya transfer murah koin crypto,positif
Pengguna Google,1,2025-01-28 06:43:42,saya tutup aja aplikasi ini karena proses tradingnya berjalan lambat,saya tutup aja aplikasi ini karena proses tradingnya berjalan lambat,tutup aja aplikasi proses tradingnya berjalan lambat,"['tutup', 'aja', 'aplikasi', 'proses', 'tradingnya', 'berjalan', 'lambat']",tutup aja aplikasi proses tradingnya jalan lambat,negatif
Pengguna Google,2,2025-01-28 01:13:29,bagus,bagus,bagus,['bagus'],bagus,negatif
Pengguna Google,5,2025-01-27 21:26:21,mantap 👌,mantap ,mantap,['mantap'],mantap,positif
Pengguna Google,5,2025-01-27 20:05:41,bagus,bagus,bagus,['bagus'],bagus,positif
Pengguna Google,1,2025-01-26 23:22:03,"biaya transfer koin ke wallet lain gila SANGAT MAHAL bgt.., jauh berbeda dengan warung sebelah..",biaya transfer koin ke wallet lain gila sangat mahal bgt jauh berbeda dengan warung sebelah,biaya transfer koin wallet gila mahal bgt berbeda warung sebelah,"['biaya', 'transfer', 'koin', 'wallet', 'gila', 'mahal', 'bgt', 'berbeda', 'warung', 'sebelah']",biaya transfer koin wallet gila mahal bgt beda warung belah,negatif
Pengguna Google,5,2025-01-26 18:57:00,Dari 2021 -2025 Rekeningku ( Reku ) 👍👍👍,dari 2021 2025 rekeningku  reku  ,2021 2025 rekeningku reku,"['2021', '2025', 'rekeningku', 'reku']",2021 2025 rekening reku,positif
Pengguna Google,5,2025-01-26 04:59:53,Good app,good app,good app,"['good', 'app']",good app,positif
Pengguna Google,5,2025-01-25 22:09:25,mantap,mantap,mantap,['mantap'],mantap,positif
Pengguna Google,5,2025-01-25 19:53:47,"Mantabbbbb,,. Sy lbh suka reku drpd apk sejenis,, topppp",mantabbbbb sy lbh suka reku drpd apk sejenis topppp,mantabbbbb sy lbh suka reku drpd apk sejenis topppp,"['mantabbbbb', 'sy', 'lbh', 'suka', 'reku', 'drpd', 'apk', 'sejenis', 'topppp']",mantabbbbb sy lbh suka reku drpd apk jenis topppp,positif
Pengguna Google,5,2025-01-25 18:56:25,mantap,mantap,mantap,['mantap'],mantap,positif
Pengguna Google,5,2025-01-25 14:25:09,Bagus 👍,bagus ,bagus,['bagus'],bagus,positif
Pengguna Google,5,2025-01-25 04:12:51,lancar dan menyediakan apa yg dibutuhkan pengguna sosmed,lancar dan menyediakan apa yg dibutuhkan pengguna sosmed,lancar menyediakan yg dibutuhkan pengguna sosmed,"['lancar', 'menyediakan', 'yg', 'dibutuhkan', 'pengguna', 'sosmed']",lancar sedia yg butuh guna sosmed,positif
Pengguna Google,1,2025-01-24 18:16:20,Potongannya parah..,potongannya parah,potongannya parah,"['potongannya', 'parah']",potong parah,negatif
Pengguna Google,5,2025-01-24 15:20:57,"makasih bnget untuk tim reku gercep ngatasin masalah, 10 Ton sy udah balik.best exchange yang sangat saya rekomendasi kan!!!",makasih bnget untuk tim reku gercep ngatasin masalah 10 ton sy udah balikbest exchange yang sangat saya rekomendasi kan,makasih bnget tim reku gercep ngatasin 10 ton sy udah balikbest exchange rekomendasi,"['makasih', 'bnget', 'tim', 'reku', 'gercep', 'ngatasin', '10', 'ton', 'sy', 'udah', 'balikbest', 'exchange', 'rekomendasi']",makasih bnget tim reku gercep ngatasin 10 ton sy udah balikbest exchange rekomendasi,positif
Pengguna Google,5,2025-01-23 15:54:54,mantap,mantap,mantap,['mantap'],mantap,positif
Pengguna Google,5,2025-01-23 15:53:14,ok,ok,ok,['ok'],ok,positif
Pengguna Google,5,2025-01-22 15:05:49,fast respon buat adminya thanks buat admin,fast respon buat adminya thanks buat admin,fast respon adminya thanks admin,"['fast', 'respon', 'adminya', 'thanks', 'admin']",fast respon adminya thanks admin,positif
Pengguna Google,5,2025-01-21 22:14:45,nice aplikasinya,nice aplikasinya,nice aplikasinya,"['nice', 'aplikasinya']",nice aplikasi,positif
Pengguna Google,5,2025-01-20 21:35:00,terbaeq pokoknya...,terbaeq pokoknya,terbaeq pokoknya,"['terbaeq', 'pokoknya']",terbaeq pokok,positif
Pengguna Google,5,2025-01-20 10:32:06,good,good,good,['good'],good,positif
Pengguna Google,4,2025-01-19 15:58:43,Bagus,bagus,bagus,['bagus'],bagus,positif
Pengguna Google,5,2025-01-19 04:33:12,"Saat ini masih enak di pakai, harga normal, Wd bisa ke e-wallet dan bank, minimal wd juga kecil , semoga bisa terus bertahan selamanya keunggulan reku dari walleet lain yaitu reku bisa wd ke e wallet Semoga terus konsisten fitur wd ke e-wallet nya, dan tolong tambahkan coin ""seperti DGB soalnya tidak ada disini",saat ini masih enak di pakai harga normal wd bisa ke ewallet dan bank minimal wd juga kecil  semoga bisa terus bertahan selamanya keunggulan reku dari walleet lain yaitu reku bisa wd ke e wallet semoga terus konsisten fitur wd ke ewallet nya dan tolong tambahkan coin seperti dgb soalnya tidak ada disini,enak pakai harga normal wd ewallet bank minimal wd semoga bertahan keunggulan reku walleet reku wd e wallet semoga konsisten fitur wd ewallet nya tolong tambahkan coin dgb,"['enak', 'pakai', 'harga', 'normal', 'wd', 'ewallet', 'bank', 'minimal', 'wd', 'semoga', 'bertahan', 'keunggulan', 'reku', 'walleet', 'reku', 'wd', 'e', 'wallet', 'semoga', 'konsisten', 'fitur', 'wd', 'ewallet', 'nya', 'tolong', 'tambahkan', 'coin', 'dgb']",enak pakai harga normal wd ewallet bank minimal wd moga tahan unggul reku walleet reku wd e wallet moga konsisten fitur wd ewallet nya tolong tambah coin dgb,positif
Pengguna Google,5,2025-01-19 00:46:29,top is the best,top is the best,top is the best,"['top', 'is', 'the', 'best']",top is the best,positif
Pengguna Google,5,2025-01-18 19:39:50,"Sejauh ini sangat bagus, dan menurutku requ ini aplikasi investasi terbaik, mudah dipahami , dan cocok banget untuk pemula🤩",sejauh ini sangat bagus dan menurutku requ ini aplikasi investasi terbaik mudah dipahami  dan cocok banget untuk pemula,bagus menurutku requ aplikasi investasi terbaik mudah dipahami cocok banget pemula,"['bagus', 'menurutku', 'requ', 'aplikasi', 'investasi', 'terbaik', 'mudah', 'dipahami', 'cocok', 'banget', 'pemula']",bagus turut requ aplikasi investasi baik mudah paham cocok banget mula,positif
Pengguna Google,5,2025-01-18 16:11:40,Deposit 300k masuk 290k beli koin micin jadi 260k lalu langsung di jual jadi 230k gw langsung WD lagi tinggal sisa 226k . Benar2 gila ini bukan untuk berinvestasi,deposit 300k masuk 290k beli koin micin jadi 260k lalu langsung di jual jadi 230k gw langsung wd lagi tinggal sisa 226k  benar2 gila ini bukan untuk berinvestasi,deposit 300k masuk 290k beli koin micin 260k langsung jual 230k gw langsung wd tinggal sisa 226k benar2 gila berinvestasi,"['deposit', '300k', 'masuk', '290k', 'beli', 'koin', 'micin', '260k', 'langsung', 'jual', '230k', 'gw', 'langsung', 'wd', 'tinggal', 'sisa', '226k', 'benar2', 'gila', 'berinvestasi']",deposit 300k masuk 290k beli koin micin 260k langsung jual 230k gw langsung wd tinggal sisa 226k benar2 gila investasi,positif
Pengguna Google,5,2025-01-18 10:28:37,sukses dev,sukses dev,sukses dev,"['sukses', 'dev']",sukses dev,positif
Pengguna Google,1,2025-01-18 05:08:10,Fitur Tp SL nya tambahin dong..biar sama seperti ajaib.,fitur tp sl nya tambahin dongbiar sama seperti ajaib,fitur tp sl nya tambahin dongbiar ajaib,"['fitur', 'tp', 'sl', 'nya', 'tambahin', 'dongbiar', 'ajaib']",fitur tp sl nya tambahin dongbiar ajaib,negatif
Pengguna Google,5,2025-01-17 20:49:23,"Best lah ini apk... Cepet simple. Ga ribet.. penarikan cepet banget... Pake reff ""@4ndrie4449"" klo mau dapat bonus daftar.. makasih",best lah ini apk cepet simple ga ribet penarikan cepet banget pake reff  klo mau dapat bonus daftar makasih,best apk cepet simple ga ribet penarikan cepet banget pake reff klo bonus daftar makasih,"['best', 'apk', 'cepet', 'simple', 'ga', 'ribet', 'penarikan', 'cepet', 'banget', 'pake', 'reff', 'klo', 'bonus', 'daftar', 'makasih']",best apk cepet simple ga ribet tari cepet banget pake reff klo bonus daftar makasih,positif
Pengguna Google,5,2025-01-17 20:22:26,x-cellent,xcellent,xcellent,['xcellent'],xcellent,positif
Pengguna Google,5,2025-01-17 19:37:25,Aplikasi ini mudah digunakan dan setiap informasi bisa dicerna pengguna. Layanan favorit adalah Kalender L/R juga L/R kumulatif bisa mengamati posisi naik turun investasi. Selamat untuk Reku,aplikasi ini mudah digunakan dan setiap informasi bisa dicerna pengguna layanan favorit adalah kalender lr juga lr kumulatif bisa mengamati posisi naik turun investasi selamat untuk reku,aplikasi mudah informasi dicerna pengguna layanan favorit kalender lr lr kumulatif mengamati posisi turun investasi selamat reku,"['aplikasi', 'mudah', 'informasi', 'dicerna', 'pengguna', 'layanan', 'favorit', 'kalender', 'lr', 'lr', 'kumulatif', 'mengamati', 'posisi', 'turun', 'investasi', 'selamat', 'reku']",aplikasi mudah informasi cerna guna layan favorit kalender lr lr kumulatif amat posisi turun investasi selamat reku,positif
Pengguna Google,5,2025-01-17 19:22:57,Penggunaan aplikasi ini sangat mudah dan nyaman. Sebagai trader scalping sangat mudah di pahami dan di mengerti. Apa lagi untuk pemula di dunia investasi. Sangat mudah sekali untuk deposit ataupun untuk withdraw. Apalagi bisa pake wallet dana.ovo.ataupun yang lainnya. Recommended dah pokoknya.,penggunaan aplikasi ini sangat mudah dan nyaman sebagai trader scalping sangat mudah di pahami dan di mengerti apa lagi untuk pemula di dunia investasi sangat mudah sekali untuk deposit ataupun untuk withdraw apalagi bisa pake wallet danaovoataupun yang lainnya recommended dah pokoknya,penggunaan aplikasi mudah nyaman trader scalping mudah pahami mengerti pemula dunia investasi mudah deposit withdraw pake wallet danaovoataupun recommended dah pokoknya,"['penggunaan', 'aplikasi', 'mudah', 'nyaman', 'trader', 'scalping', 'mudah', 'pahami', 'mengerti', 'pemula', 'dunia', 'investasi', 'mudah', 'deposit', 'withdraw', 'pake', 'wallet', 'danaovoataupun', 'recommended', 'dah', 'pokoknya']",guna aplikasi mudah nyaman trader scalping mudah paham erti mula dunia investasi mudah deposit withdraw pake wallet danaovoataupun recommended dah pokok,positif
Pengguna Google,5,2025-01-17 19:10:23,Aplikasinya sangat mudah digunakan. Sangat membantu saya sebagai pemula.,aplikasinya sangat mudah digunakan sangat membantu saya sebagai pemula,aplikasinya mudah membantu pemula,"['aplikasinya', 'mudah', 'membantu', 'pemula']",aplikasi mudah bantu mula,positif
Pengguna Google,5,2025-01-17 19:08:48,"aplikasi terbaik ,tidak ribet seperti apk lain nya saya sudah nenggunakan apk Reku lebih dari 5thn ,transaksi cepat dan aman pelayanan baik",aplikasi terbaik tidak ribet seperti apk lain nya saya sudah nenggunakan apk reku lebih dari 5thn transaksi cepat dan aman pelayanan baik,aplikasi terbaik ribet apk nya nenggunakan apk reku 5thn transaksi cepat aman pelayanan,"['aplikasi', 'terbaik', 'ribet', 'apk', 'nya', 'nenggunakan', 'apk', 'reku', '5thn', 'transaksi', 'cepat', 'aman', 'pelayanan']",aplikasi baik ribet apk nya nenggunakan apk reku 5thn transaksi cepat aman layan,positif
Pengguna Google,5,2025-01-17 06:33:09,mantap aplikasi nya,mantap aplikasi nya,mantap aplikasi nya,"['mantap', 'aplikasi', 'nya']",mantap aplikasi nya,positif
Pengguna Google,4,2025-01-16 19:23:00,Keren semua fitur di perbarui mudah untuk belajar,keren semua fitur di perbarui mudah untuk belajar,keren fitur perbarui mudah belajar,"['keren', 'fitur', 'perbarui', 'mudah', 'belajar']",keren fitur baru mudah ajar,positif
Pengguna Google,5,2025-01-16 19:17:16,"aplikasi yang sangat mudah di pakai,banyak pilihan koin crypto dan saham luar... penarikan yg sangat cepat & mudah,tidak smpai 5menit uang masuk ke rekening kita",aplikasi yang sangat mudah di pakaibanyak pilihan koin crypto dan saham luar penarikan yg sangat cepat  mudahtidak smpai 5menit uang masuk ke rekening kita,aplikasi mudah pakaibanyak pilihan koin crypto saham penarikan yg cepat mudahtidak smpai 5menit uang masuk rekening,"['aplikasi', 'mudah', 'pakaibanyak', 'pilihan', 'koin', 'crypto', 'saham', 'penarikan', 'yg', 'cepat', 'mudahtidak', 'smpai', '5menit', 'uang', 'masuk', 'rekening']",aplikasi mudah pakaibanyak pilih koin crypto saham tari yg cepat mudahtidak smpai 5menit uang masuk rekening,positif
Pengguna Google,5,2025-01-16 19:10:50,Sejak Pakai Reku mulai dari 2024 hingga saat ini investasi Crypto Merasa Aman dan biaya lebih murah karena aplikasi ini mempermudah saya menarik keuntungan portofolio langsung ke Bank atau e-walet dengan sangat cepat. Top-up juga Gratis ❤️. Thank Reku sampai ketemu di 2030 dengan portofolio hijau 😍😍🚀,sejak pakai reku mulai dari 2024 hingga saat ini investasi crypto merasa aman dan biaya lebih murah karena aplikasi ini mempermudah saya menarik keuntungan portofolio langsung ke bank atau ewalet dengan sangat cepat topup juga gratis  thank reku sampai ketemu di 2030 dengan portofolio hijau ,pakai reku 2024 investasi crypto aman biaya murah aplikasi mempermudah menarik keuntungan portofolio langsung bank ewalet cepat topup gratis thank reku ketemu 2030 portofolio hijau,"['pakai', 'reku', '2024', 'investasi', 'crypto', 'aman', 'biaya', 'murah', 'aplikasi', 'mempermudah', 'menarik', 'keuntungan', 'portofolio', 'langsung', 'bank', 'ewalet', 'cepat', 'topup', 'gratis', 'thank', 'reku', 'ketemu', '2030', 'portofolio', 'hijau']",pakai reku 2024 investasi crypto aman biaya murah aplikasi mudah tarik untung portofolio langsung bank ewalet cepat topup gratis thank reku ketemu 2030 portofolio hijau,positif
Pengguna Google,5,2025-01-16 00:56:26,Jujur baru pertama kali ini saya nemuin aplikasi investasi yg bagus dan dapat di percaya mohon kedepannya supaya lebih bagus lagi,jujur baru pertama kali ini saya nemuin aplikasi investasi yg bagus dan dapat di percaya mohon kedepannya supaya lebih bagus lagi,jujur kali nemuin aplikasi investasi yg bagus percaya mohon kedepannya bagus,"['jujur', 'kali', 'nemuin', 'aplikasi', 'investasi', 'yg', 'bagus', 'percaya', 'mohon', 'kedepannya', 'bagus']",jujur kali nemuin aplikasi investasi yg bagus percaya mohon depan bagus,positif
Pengguna Google,5,2025-01-15 23:52:20,"Makin hari makin keren main kripto & saham jadi lebih mudah, selalu abdet, Semoga kita bisa kaya dari kripto Terimakasih Rekeningku Semoga semakin terus berkembang",makin hari makin keren main kripto  saham jadi lebih mudah selalu abdet semoga kita bisa kaya dari kripto terimakasih rekeningku semoga semakin terus berkembang,keren main kripto saham mudah abdet semoga kaya kripto terimakasih rekeningku semoga berkembang,"['keren', 'main', 'kripto', 'saham', 'mudah', 'abdet', 'semoga', 'kaya', 'kripto', 'terimakasih', 'rekeningku', 'semoga', 'berkembang']",keren main kripto saham mudah abdet moga kaya kripto terimakasih rekening moga kembang,positif
Pengguna Google,5,2025-01-15 23:17:40,"Saya sangat puas dengan apk reku ini,fitur"" mudah di mengerti serta proses dalam transaksi juga tidak ribet selama saya trading belum ada kendala apapun sukses selalu buat reku 🥰☺️",saya sangat puas dengan apk reku inifitur mudah di mengerti serta proses dalam transaksi juga tidak ribet selama saya trading belum ada kendala apapun sukses selalu buat reku ,puas apk reku inifitur mudah mengerti proses transaksi ribet trading kendala apapun sukses reku,"['puas', 'apk', 'reku', 'inifitur', 'mudah', 'mengerti', 'proses', 'transaksi', 'ribet', 'trading', 'kendala', 'apapun', 'sukses', 'reku']",puas apk reku inifitur mudah erti proses transaksi ribet trading kendala apa sukses reku,positif
Pengguna Google,5,2025-01-15 16:23:45,Live chat nya fast respon,live chat nya fast respon,live chat nya fast respon,"['live', 'chat', 'nya', 'fast', 'respon']",live chat nya fast respon,positif
Pengguna Google,5,2025-01-15 16:20:40,"yes, OK",yes ok,yes ok,"['yes', 'ok']",yes ok,positif
Pengguna Google,5,2025-01-15 13:05:19,"Reku sangat memuaskan, saya favorit di crypto",reku sangat memuaskan saya favorit di crypto,reku memuaskan favorit crypto,"['reku', 'memuaskan', 'favorit', 'crypto']",reku muas favorit crypto,positif
Pengguna Google,2,2025-01-15 08:57:20,Baru mau nyobain,baru mau nyobain,nyobain,['nyobain'],nyobain,negatif
Pengguna Google,5,2025-01-15 07:17:45,Aku pernah menjual btc senilai..6k setelah di jual saldo.ga masuk tapi.keterangan di histori sukses sampe saat.ini saldo ga bertambah hampir dua bulan,aku pernah menjual btc senilai6k setelah di jual saldoga masuk tapiketerangan di histori sukses sampe saatini saldo ga bertambah hampir dua bulan,menjual btc senilai6k jual saldoga masuk tapiketerangan histori sukses sampe saatini saldo ga bertambah,"['menjual', 'btc', 'senilai6k', 'jual', 'saldoga', 'masuk', 'tapiketerangan', 'histori', 'sukses', 'sampe', 'saatini', 'saldo', 'ga', 'bertambah']",jual btc senilai6k jual saldoga masuk tapiketerangan histori sukses sampe saatini saldo ga tambah,positif
Pengguna Google,5,2025-01-14 22:43:33,Aplikasinya lengkap mudah di pahami sehingga tidak mempersulit bagi pemula yang ingin membeli koin crypto.,aplikasinya lengkap mudah di pahami sehingga tidak mempersulit bagi pemula yang ingin membeli koin crypto,aplikasinya lengkap mudah pahami mempersulit pemula membeli koin crypto,"['aplikasinya', 'lengkap', 'mudah', 'pahami', 'mempersulit', 'pemula', 'membeli', 'koin', 'crypto']",aplikasi lengkap mudah paham sulit mula beli koin crypto,positif
