content,text_tokens_stemmed,Label,Label NB,Label NB Average,Label SVM,Label SVM Average
"Gabisa masuk terus, alasannya jaringan internet, pdhal sinyal nya poll",gabisa masuk alas jaring internet pdhal sinyal nya poll,negatif,negatif,negatif,negatif,negatif
parah aplikasi gabisa digunakan setiap mau log in skrng otomatis ke web mana lama banget ga satset kaya dulu. tolong kembalikan aplikasinya seperti dulu untuk memudahkan kita para pencari kerja. mksh,parah aplikasi gabisa log in skrng otomatis web banget ga satset kaya tolong kembali aplikasi mudah cari kerja mksh,negatif,negatif,negatif,negatif,negatif
Lengkap dan Terpercaya,lengkap percaya,positif,positif,positif,positif,positif
Good,good,positif,positif,positif,positif,positif
Baik dan mudah,mudah,positif,positif,positif,positif,positif
jobsreet lebih di percaya,jobsreet percaya,positif,positif,positif,positif,positif
"Udah beberapa bulan ini tidak bisa masuk hanya muter muter saja, padahal udah di perbaharui. Setelah beberapa bulan baru bisa masuk, padahal ndak di apa2 in...saya revisi rating ulasannya ya...",udah masuk muter muter udah baharu masuk ndak apa2 insaya revisi rating ulas ya,positif,negatif,negatif,positif,negatif
sangat membantu,bantu,positif,positif,positif,positif,positif
Apk apaan sih masuk tidak bisa Daftar tidak bisa juga 👎,apk sih masuk daftar,negatif,negatif,negatif,negatif,negatif
Sangat membantu buat cari info loker,bantu cari info loker,positif,positif,positif,positif,positif
Ngeri banyak job yg abal2 ;((,ngeri job yg abal2,negatif,negatif,positif,negatif,positif
"Kasih bintang 1 dulu, soal nya gak bisa masuk apk jadi kelewat deh lowongan pekerjaan yang di impikan",kasih bintang 1 nya gak masuk apk lewat deh lowong kerja impi,negatif,negatif,negatif,negatif,negatif
Mengecewakan,kecewa,negatif,negatif,negatif,negatif,negatif
Sangat membantu kami dan perusahaan terhadap kriteria calon staff dan eprusahaan yang dituju,bantu usaha kriteria calon staff eprusahaan tuju,positif,positif,positif,positif,positif
Ok,ok,positif,positif,positif,positif,positif
Good,good,positif,positif,positif,positif,positif
alhamdulillah,alhamdulillah,positif,positif,positif,positif,positif
saya sudah upgrade google chrome masih saja ndak bisa masuk berkali2..???,upgrade google chrome ndak masuk berkali2,negatif,negatif,negatif,negatif,negatif
"Kenapa si jobstreet sekarang malah nyulitin?? Aplikasi ga danta bangat masa tampilannya sekarang begini. Mau nglamar kerja aja kudu login lagi, keluar aplikasi kudu login lagi. Bikin susah doang",si jobstreet nyulitin aplikasi ga danta bangat tampil nglamar kerja aja kudu login aplikasi kudu login bikin susah doang,negatif,negatif,negatif,negatif,negatif
"Jobstreet tolong diperbaiki lagi, banyak penyalahgunaan iming menghubungi tawaran loker kerja, setelah dicek nomor yg merekrut admin judi slot",jobstreet tolong baik penyalahgunaan iming hubung tawar loker kerja cek nomor yg rekrut admin judi slot,negatif,negatif,negatif,negatif,positif
aplikasi lelet login tidak bisa masuk masuk,aplikasi lelet login masuk masuk,negatif,negatif,negatif,negatif,negatif
Gak bisa login2 padahal sudah isi kode Verifikasi. Eek lah nih aplikasi,gak login2 isi kode verifikasi eek nih aplikasi,negatif,negatif,negatif,negatif,negatif
Aplikasi untuk jobseeker mudah untuk mencari pekerjaan dan aman terpercaya.,aplikasi jobseeker mudah cari kerja aman percaya,positif,positif,positif,positif,positif
Kenapa jobstreet sekarang gak bisa login2 ya??,jobstreet gak login2 ya,negatif,negatif,negatif,negatif,negatif
"Alhamdulillah, berkat aplikasi jobstreet, awal saya keterima kerja dan meniti karir, walaupun 10% dri bidang. tpi masih sesuai dng jurusan, dan sekarang sdh permanent disalah satu perusahaan, terbesar. 🙏😊",alhamdulillah berkat aplikasi jobstreet terima kerja titi karir 10 dri bidang tpi sesuai dng jurus sdh permanent salah usaha besar,positif,positif,positif,positif,positif
Bagus sekali,bagus,positif,positif,positif,positif,positif
Sering trouble ... Dibuka bermasalah... Semoga kedepannya lancar terus,trouble buka masalah moga depan lancar,positif,positif,positif,positif,positif
"Jobstreet Ini bahaya bener cok, banyak perusahaan bodong. mana nyepam lagi, kalian hati² ya. Buat developernya, tolong diseleksi lagi perusahaan goib dan yang bener. Min, saya gtau ini perusahaan mana soalnya, tapi dia tau nomer HP saya dari jobstreet, dan alhasil jatohnya nyepam.",jobstreet bahaya bener cok usaha bodong nyepam hati ya developer tolong seleksi usaha goib bener min gtau usaha tau nomer hp jobstreet alhasil jatohnya nyepam,negatif,negatif,negatif,negatif,negatif
Lebih bagus nya lagi kalo bisa chat langsung admin nya seperti olx,bagus nya kalo chat langsung admin nya olx,positif,negatif,negatif,positif,positif
Alhamdulillah,alhamdulillah,positif,positif,positif,positif,positif
Kenapa sekarang susah banget buat login?!!,susah banget login,negatif,negatif,negatif,negatif,negatif
Udh update Google chrome Tp ttp gak bisa masuk. Kok makin begini yaa,udh update google chrome tp ttp gak masuk yaa,negatif,negatif,negatif,negatif,negatif
Susah login terlebih lagi loading lemot,susah login loading lot,negatif,negatif,negatif,negatif,negatif
Banyak loker gaje,loker gaje,negatif,negatif,negatif,negatif,negatif
Setiap hari email masuk tapi gak ada yg nyangkut gajih iming iming besar nyata nya hadeh,email masuk gak yg nyangkut gajih iming iming nyata nya hadeh,negatif,negatif,negatif,negatif,negatif
"Ini aplikasi kenapa ya? Dari bbrp bulan lalu tiba2 log out sendiri? Coba instal ulang masih gak bisa,, kucoba log in lagi di tahun 2025 masih aja gak bisa,, please aplikasi ini sbenernya memudahkan lho buat cari kerja,, please jobstree bantu permudah lagi",aplikasi ya bbrp tiba2 log out coba instal ulang gak coba log in 2025 aja gak please aplikasi sbenernya mudah lho cari kerja please jobstree bantu mudah,negatif,negatif,negatif,negatif,negatif
Ni sy coba tu cari krj,ni sy coba tu cari krj,positif,negatif,negatif,positif,negatif
Bolak balik ga bisa log in,bolak ga log in,negatif,negatif,negatif,negatif,negatif
"Mudah digunakan, banyak info loker, dan pengguna diberitahu update proses recruitment",mudah info loker guna diberitahu update proses recruitment,positif,positif,positif,positif,positif
"Kenapa ya sign in lewat yahoo gak bisa bisa. Minta otp gak dikasih, login fb error",ya sign in yahoo gak otp gak kasih login fb error,negatif,negatif,negatif,negatif,negatif
App too late and always error. Can't login,app too late and always error cant login,negatif,negatif,negatif,negatif,negatif
Bagus infonya sangat membantu,bagus info bantu,positif,positif,positif,positif,positif
"lamaran gue cuma diliat doank,lebih banyak ditolak, karna byk perusahaan cuma nyari dibawah usia 30tahun. perusahaan itu buka loker cari yg usia maksimal 25, giliran perusahaan ambruk PHK besar yg usia 30an keatas. kocak sii indonesia.",lamar gue liat doanklebih tolak karna byk usaha nyari bawah usia 30tahun usaha buka loker cari yg usia maksimal 25 gilir usaha ambruk phk yg usia 30an atas kocak sii indonesia,negatif,negatif,negatif,negatif,negatif
"Gak bisa login,aplikasi taik Dulu aman2 ajanya,makin ksini makin aneh",gak loginaplikasi taik aman2 ajanyamakin ksini aneh,negatif,negatif,negatif,negatif,negatif
Sangat membantu sekali terimakasih 🙏🙏🙏,bantu terimakasih,positif,positif,positif,positif,positif
kenapa saya ga bisa masuk ya?cuma loading aja.apakah ada gangguan padahal sinyal bagus,ga masuk yacuma loading ajaapakah ganggu sinyal bagus,positif,negatif,negatif,positif,negatif
"Kok susah masuknya, sekali mau masuk ke akun, di mintai email agar dpt kode login udh mengikuti kodenya ttp ga bsa masuk, malah ada tulisan sedang berusaha memperbaiki. Anehhhhh",susah masuk masuk akun minta email dpt kode login udh ikut kode ttp ga bsa masuk tulis usaha baik anehhhhh,negatif,negatif,negatif,negatif,negatif
Kacau ini ga bisa masuk sign in ke HP,kacau ga masuk sign in hp,negatif,negatif,negatif,negatif,negatif
Oke,oke,positif,positif,positif,positif,positif
Tiba2 akun gw ke log out.. Email udah di verifikasi gagal masuk mulu.. RIBET. STOP KIRIM SPAM KE EMAIL PRIBADI GW. KLO APLIKASI NYA GA BISA DI GUNAIN,tiba2 akun gw log out email udah verifikasi gagal masuk mulu ribet stop kirim spam email pribadi gw klo aplikasi nya ga gunain,negatif,negatif,negatif,negatif,negatif
Knp gk bsa di bukk ya.. aplikasinya ..,knp gk bsa bukk ya aplikasi,negatif,negatif,negatif,negatif,negatif
Masa ga bsa login di aplikasi android sihh...,ga bsa login aplikasi android sihh,negatif,negatif,negatif,negatif,negatif
Daftarnya susah,daftar susah,negatif,negatif,negatif,negatif,negatif
"Kenapa susah masuk? Minta akses kode , sudah dimasukkan tapi murar mutar. Gak bisa login. Jadi gak bisa dibuka / diakses... Applikasi ini kok semakin buruk....!!!",susah masuk akses kode masuk murar mutar gak login gak buka akses applikasi buruk,negatif,negatif,negatif,negatif,negatif
"Kok aneh, sudah berusaha memasukan aplikasi ini, tp tetap saja ga bisa masuk",aneh usaha pasu aplikasi tp ga masuk,negatif,negatif,negatif,negatif,negatif
"Mantap, gass...",mantap gass,positif,positif,positif,positif,positif
"Ok bisa log in lagi, ternyata harus update browser (google chrome) yang ada di hp baru bisa log in lagi. Semoga kedepannya lebih baik lagi aplikasinya.",ok log in update browser google chrome hp log in moga depan aplikasi,positif,negatif,negatif,negatif,negatif
Buset mau login aja susah banget Mana loding nya lama hampir 20 mnit,buset login aja susah banget loding nya 20 mnit,negatif,negatif,negatif,negatif,negatif
"Jobstreet sekarang Macet Mau Login Saja Ribet, Nunggunya 3 Jam Gak Masuk²",jobstreet macet login ribet nunggunya 3 jam gak masuk,negatif,negatif,negatif,negatif,negatif
sering ketipu pake aplikasi ini,tipu pake aplikasi,negatif,negatif,negatif,negatif,negatif
Udh ngelamar 100 perusahaan tapi nihil ga ada sama sekali yang nyangkut pdhl nyari perusahaan nya sesuai pengalaman,udh ngelamar 100 usaha nihil ga nyangkut pdhl nyari usaha nya sesuai alam,negatif,negatif,negatif,negatif,negatif
"kenapa masuk di aplikasi tidak bisa udah berbagai cara pilihan tetep gak bs masuk. mana ada keterangan error pas dicoba masuk berulang kali. pdhl masuk di pc aman"" aja",masuk aplikasi udah pilih tetep gak bs masuk terang error pas coba masuk ulang kali pdhl masuk pc aman aja,negatif,negatif,negatif,negatif,negatif
Kemudahan dalam berinteraksi dan proses recruitment,mudah interaksi proses recruitment,positif,positif,positif,positif,positif
Loading masuk akun tidak bisa... loading trs,loading masuk akun loading trs,negatif,negatif,negatif,negatif,negatif
tidak bisa login,login,negatif,negatif,negatif,negatif,negatif
"Dari Awal Instal Belum Pernah Ada 1 perusahan pun manggil Aplikasi macam apa tiap lowongan yg dilamar pasti lebih dari 100 kandidat, udah lebih dari 50 lamaran apply di aplikasi ini gada satupun yg interview, aneh",instal 1 usah manggil aplikasi lowong yg lamar 100 kandidat udah 50 lamar apply aplikasi gada satu yg interview aneh,negatif,negatif,negatif,negatif,negatif
"Kenapa saya login lagi gak bisa ya, setelah isi code loadingnya lama skali",login gak ya isi code loadingnya skali,positif,negatif,negatif,positif,negatif
Update aplikasi tidak bisa login lagi,update aplikasi login,positif,negatif,negatif,negatif,negatif
D U N 9 U 💰💰💰💰💰💰,d u n 9 u,negatif,negatif,negatif,positif,positif
Banyak nomor nggak kenal menawarkan pekerjaan online dan mengganggu Sekarang Saya tidak pernah mendaftar akun jobstreet lagi 🙏🏻🙏🏻,nomor nggak kenal tawar kerja online ganggu daftar akun jobstreet,negatif,negatif,negatif,negatif,negatif
"Perbaiki sistem database anda, bagaimana bisa selalu terjadi kebocoran data sehingga menyebabkan spam yang dialami pengguna yang dilakukan oleh oknum tidak bertanggung jawab.",baik sistem database bocor data sebab spam alami guna oknum tanggung,negatif,negatif,negatif,negatif,negatif
best,best,positif,positif,positif,positif,positif
Aplikasi gk jelas mau bikin akun aja gk masuk² sampai 12 jam HEBATTTTTT,aplikasi gk bikin akun aja gk masuk 12 jam hebatttttt,negatif,negatif,negatif,negatif,negatif
Tidak bisa login dari HP,login hp,negatif,negatif,negatif,negatif,negatif
Sangat membantu menghubungkan pencari kerja dan penerima kerja.,bantu hubung cari kerja terima kerja,positif,positif,positif,positif,positif
Good,good,positif,positif,positif,positif,positif
OK,ok,positif,positif,positif,positif,positif
Sangat terbaik,baik,positif,positif,positif,positif,positif
"Tolong diperbaiki lagi, pas pencairan lowongan sudah di set nama pekerjaan dan lokasi eh pas muncul malah semua kota padahal pengen nya sesuai apa yg sudah di set di bilah pencarian",tolong baik pas cair lowong set nama kerja lokasi eh pas muncul kota ken nya sesuai yg set bilah cari,negatif,negatif,negatif,negatif,negatif
Aplikasi bodoh,aplikasi bodoh,negatif,negatif,negatif,negatif,negatif
"Selalu logout otomatis, ketika besoknya dibuka.",logout otomatis besok buka,negatif,negatif,negatif,negatif,negatif
Mendapatkan pekerjaan bisa lebih mudah,kerja mudah,positif,positif,positif,positif,positif
Saya pernah bekerja di Pt Putra Alvita Pratama developer /property sebagai receptionist. Saya pernah bekerja di Pt Codeco oil company sebagai rceptionist. Saya pernah bekerja di Uluwatu galery furniture sebagai pramuniaga. Saya pernah bekerja di Pt Teras Indra Mandiri sebagai admin /pembukuan pengeluaran belanja matrial & pembayaran upah pekerja. Saya pernah menjadi sukarelawan asisten guru TK di TK Islam Qotrunada. Saya pernah training untuk supervisor restaurant di Pesona Alam Castello.,pt putra alvita pratama developer property receptionist pt codeco oil company rceptionist uluwatu galery furniture pramuniaga pt teras indra mandiri admin buku keluar belanja matrial bayar upah kerja sukarelawan asisten guru tk tk islam qotrunada training supervisor restaurant pesona alam castello,positif,positif,positif,positif,positif
"Ini kenapa sih setelah update, pas buka stuck mulu gambar putih.... Padahal kemarin sebelum update gak ada problem dah.... Ayuk dong perbaiki...",sih update pas buka stuck mulu gambar putih kemarin update gak problem dah ayuk baik,negatif,negatif,negatif,negatif,negatif
Good,good,positif,positif,positif,positif,positif
Loading nya lama banget,loading nya banget,positif,negatif,negatif,positif,negatif
Gak bisa login login di aplikasi hp.. tp kalau manual lewat laptop bisa.. aneh..,gak login login aplikasi hp tp manual laptop aneh,negatif,negatif,negatif,negatif,negatif
Aplikasi gajelas gabisa login,aplikasi gajelas gabisa login,negatif,negatif,negatif,negatif,negatif
"Untuk saat ini, kalau mau buka jobstreet harus dari web. Aplikasi ini udah bener bener parah banget. Cari kerja gak dapet, ke log out sendiri, log in balik lama banget loading nya. Bener bener repot banget, nyusahin para pelamar kerja pula. Kukira di uninstall beberapa hari bakal hilang bug nya. Rupanya di download lagi gak ada beda nya. Payah lah jobstreet",buka jobstreet web aplikasi udah bener bener parah banget cari kerja gak dapet log out log in banget loading nya bener bener repot banget nyusahin lamar kerja kira uninstall hilang bug nya download gak beda nya payah jobstreet,negatif,negatif,negatif,negatif,negatif
"Aneh, coba login si aplikasi tidak bisa, coba login di website bisa, benar2 tidak tahu apa masalahnya",aneh coba login si aplikasi coba login website benar2,negatif,negatif,negatif,negatif,negatif
Ko gbsa login ya loading trs,ko gbsa login ya loading trs,negatif,negatif,negatif,negatif,negatif
udh 1 minggu mau log in jobstreet susah sekali ya. kenapa?,udh 1 minggu log in jobstreet susah ya,positif,negatif,negatif,negatif,negatif
Pesimis lamar kemana-mana pake aplikasi pencari kerja zonk semua,pesimis lamar kemanamana pake aplikasi cari kerja zonk,negatif,negatif,negatif,negatif,negatif
Kereen. Mamang aplikasi ini bagus sebagai referensi kerja. Info pekerjaan valid pastinya up-to-date. Terima kasih jobstreet.,kereen mamang aplikasi bagus referensi kerja info kerja valid pasti uptodate terima kasih jobstreet,positif,positif,positif,positif,positif
"Pekerjaan tidak real awas data disalahgunakan masa lowongan dibuka lama tiba"" balas tutup selalu seperti itu",kerja real awas data disalahgunakan lowong buka balas tutup,negatif,negatif,negatif,negatif,negatif
"Dari sekian lama, ga ada yang respon sama sekali",sekian ga respon,negatif,negatif,negatif,negatif,negatif
Susah login ketika login di arahkan ke website dan ketika berhasil login tidak bisa klik continue Masih tidak ada perbaikan pedahal sudah kirim email terkait bugs nya,susah login login arah website hasil login klik continue baik pedahal kirim email kait bugs nya,negatif,negatif,negatif,negatif,negatif
Pencarian lebih cepat dan akurat,cari cepat akurat,positif,positif,positif,positif,positif
Lola bgt dibuka,lola bgt buka,negatif,negatif,negatif,negatif,positif
"Gak jelas, setiap melar email balasannya cuma lowongan sudah ditutup.",gak melar email balas lowong tutup,negatif,negatif,negatif,negatif,negatif
Yang saya sukai dari jobstreet yaitu adanya pelatihan gratis bersertifikat,suka jobstreet latih gratis sertifikat,positif,positif,positif,positif,positif
"Aplikasi bikin bingung, sudaha masuk terus tulisannya ""Siap menemukan pekerjaan baru"" di klik Berikutnya malah stage disitu-situ saja",aplikasi bikin bingung sudaha masuk tulis temu kerja klik stage disitusitu,negatif,negatif,negatif,negatif,negatif
Lowongan palsu kabeh kgk ada yg bener,lowong palsu kabeh kgk yg bener,negatif,negatif,negatif,negatif,negatif
"Menu gk sesuai dengan data pencarian, ngawur",menu gk sesuai data cari ngawur,negatif,negatif,negatif,negatif,negatif
Agak ribet sekarang mah udh login ttep aja gabisa langsung masuk ke akun,ribet mah udh login ttep aja gabisa langsung masuk akun,positif,negatif,negatif,negatif,negatif
Kebanyakan loker bodong yang dibawa ke ruko2,banyak loker bodong bawa ruko2,negatif,negatif,negatif,negatif,negatif
Bagus,bagus,positif,positif,positif,positif,positif
Kesel,kesel,negatif,negatif,negatif,negatif,positif
Kenapa sekarang jadi ribet aplikasi ini Tidak semudah penggunaan sebelumnya Tidak bisa skli klik langaung lamar Harus daftar ini itu lagi. Dibuat jadi aemakin ribet,ribet aplikasi mudah guna skli klik langaung lamar daftar aemakin ribet,negatif,negatif,negatif,negatif,negatif
Ok,ok,positif,positif,positif,positif,positif
Ngga bisa login padahal password udah bener,ngga login password udah bener,positif,negatif,negatif,negatif,negatif
"Sudah berusaha login sampai pakai 3 email. Perbarui, instal, uninstal, instal lagi, login lagi, register, begitu terus sampai busuk, tetap saja tidak bisa login. BAD BAD BAD BAD BAD 👎👎👎",usaha login pakai 3 email baru instal uninstal instal login register busuk login bad bad bad bad bad,negatif,negatif,negatif,negatif,negatif
The real orang dalam,the real orang,positif,positif,positif,positif,positif
Lumayan membantu,lumayan bantu,positif,positif,positif,positif,positif
"Banyak loker baru tapi ketika dilamar mendadak kadaluarsa, itu sbnernya hanya iklan atau apa biar gk sepi",loker lamar dadak kadaluarsa sbnernya iklan biar gk sepi,negatif,negatif,negatif,negatif,negatif
"Kenapa jadi gini sih ini aplikasi, logout sendiri, pas login lagi malah jadi buka jobstreet nya di browser ga jelas parah",gin sih aplikasi logout pas login buka jobstreet nya browser ga parah,negatif,negatif,negatif,negatif,negatif
Tiap masuk apl harus login ulang terus,masuk apl login ulang,negatif,negatif,negatif,negatif,negatif
Knapa jadi gaenak gini dah ni aplikasi,knapa gaenak gin dah ni aplikasi,negatif,negatif,negatif,negatif,negatif
Taiii dapet kerja kaga gua,taiii dapet kerja kaga gua,negatif,negatif,negatif,negatif,negatif
"Hati-hati yang melamar pekerjaan lewat online apalagi dijobstreet aku bulan Juni kemarin kena tipu,, kok bisa lolos ya lowongan bodong masuk ke aplikasi jobstreet? Dan aplikasi jobstreet penyebar nomor handphone, masa banyak banget yang WA gw dengan alasan menawarkan pekerjaan yang katanya 2 s.d 3 jam saja waktu kerjanya dan bisa dikerjakan kapan saja dengan di iming imingi gaji yg besar! Gimana si jobstreet padahal dlu waktu belum dft dijobstreet nga ada tu yg WA terus menawarkan pekerjaan?",hatihati lamar kerja online dijobstreet juni kemarin kena tipu lolos ya lowong bodong masuk aplikasi jobstreet aplikasi jobstreet sebar nomor handphone banget wa gw alas tawar kerja 2 sd 3 jam kerja iming imingi gaji yg gimana si jobstreet dlu dft dijobstreet nga tu yg wa tawar kerja,negatif,negatif,negatif,negatif,negatif
Good job,good job,positif,positif,positif,positif,positif
"Masalah login kga bisa masuk"" Keberanda gimana sihh",login kga masuk beranda gimana sihh,negatif,negatif,negatif,negatif,negatif
Sudah beberapa hari aplikasinya tidak bisa masuk,aplikasi masuk,positif,negatif,negatif,negatif,negatif
"Informasi nya bagis tp blm rejeki di terima perusahaan, semoga aja dlm waktu dekat di terima kerja",informasi nya bagis tp blm rejeki terima usaha moga aja dlm terima kerja,positif,positif,positif,positif,positif
"Pernah bekerja d PT.print pack Cakung ,pernah bekerja d PT .Nissan mobil indonesia selama 12 thsebagai op assembling/ perakitan kendaraan.d PT Nissan jpan 1 tahun sebagai operatorperakitan kendaraan.d PT .Marc tri manungal 2 Thun sebagi mekanik mobil diesel",d ptprint pack cakung d pt nissan mobil indonesia 12 thsebagai op assembling rakit kendaraand pt nissan jpan 1 operatorperakitan kendaraand pt marc tri manungal 2 thun bagi mekanik mobil diesel,positif,positif,positif,positif,positif
passwordnya sudah benar kenapa tidak bisa masuk tolong diperbaiki,passwordnya masuk tolong baik,negatif,negatif,negatif,negatif,negatif
kebetulan saya mau cari kerja di jobstreet karena saya mau cari pengalaman kerja di perusahaan,cari kerja jobstreet cari alam kerja usaha,positif,positif,positif,positif,positif
Oke,oke,positif,positif,positif,positif,positif
Sulit login melalui HP berkali kali,sulit login hp kali kali,negatif,negatif,negatif,negatif,negatif
Ada yang bisa bantu kasih tau contact center jobstreet? Email saya tiba2 gak bisa masuk!,bantu kasih tau contact center jobstreet email tiba2 gak masuk,negatif,negatif,negatif,negatif,negatif
Aplikasi Cari kerja tpi diminta uang duluan,aplikasi cari kerja tpi uang duluan,negatif,negatif,positif,negatif,positif
"Kemarin kerja masuk dari joobstreet, tapi aku udah habis kontrak. Semoga dapet lagi yaaa abis ini",kemarin kerja masuk joobstreet udah habis kontrak moga dapet yaaa abis,positif,negatif,negatif,positif,positif
G terkenal di indo,g kenal indo,negatif,negatif,negatif,negatif,negatif
2 tahun sebagai PKWT Head Security PT Bakrie sumbar di sungai aur,2 pkwt head security pt bakrie sumbar sungai aur,negatif,negatif,positif,negatif,positif
Ke logout terus,logout,negatif,negatif,negatif,negatif,negatif
Kenapa setelah di update malah ga bisa login? Cacat nih aplikasi sejak di pegang Seek,update ga login cacat nih aplikasi pegang seek,negatif,negatif,negatif,negatif,negatif
